Product Status,Instrument,ISIN,WKN,Product Assignment Group Description,Market Maker,Specialist,First Trading Date,Last Trading Date
Active,LUYE PHARMA GROUP DL- 02,BMG570071099,000A116Z9,BOERSE FRANKFURT EQUITIES,ODDO BHF Corporates & Markets AG,ODDO BHF Corporates & Markets AG,2014-08-14,
Active,COMMERCE RESOURCES CORP.,CA2006977045,000A2PQKV,BOERSE FRANKFURT EQUITIES,BANKHAUS SCHEICH WERTPAPIERSPEZ. AG,BANKHAUS SCHEICH WERTPAPIERSPEZ. AG,2019-08-15,
Active,NEXUS MINERALS LTD,AU000000NXM3,000A1J82J,BOERSE FRANKFURT EQUITIES,BAADER BANK AG,BAADER BANK AG,2015-12-23,
Active,MAIDEN HLDGS LTD  DL - 01,BMG5753U1128,000A0QZ6P,BOERSE FRANKFURT EQUITIES,BAADER BANK AG,BAADER BANK AG,2013-12-18,
Active,NEXTDC LTD,AU000000NXT8,000A1C9HQ,BOERSE FRANKFURT EQUITIES,BANKHAUS SCHEICH WERTPAPIERSPEZ. AG,BANKHAUS SCHEICH WERTPAPIERSPEZ. AG,2016-06-17,
Active,SINOVAC BIOTECH   DL- 001,AGP8696W1045,000789125,BOERSE FRANKFURT EQUITIES,TRADEGATE AG WERTPAPIERHANDELSBANK,TRADEGATE AG WERTPAPIERHANDELSBANK,2011-05-23,
Active,OAR RESOURCES LTD.,AU000000OAR8,000A119V0,BOERSE FRANKFURT EQUITIES,BANKHAUS SCHEICH WERTPAPIERSPEZ. AG,BANKHAUS SCHEICH WERTPAPIERSPEZ. AG,2019-07-22,
Active,MANDARIN ORIENTAL  DL- 05,BMG578481068,000872956,BOERSE FRANKFURT EQUITIES,MWB FAIRTRADE WERTPAPIERHANDELSBANK AG,MWB FAIRTRADE WERTPAPIERHANDELSBANK AG,2019-05-24,
Active,ORBITAL CORP.LTD.,AU000000OEC2,000880033,BOERSE FRANKFURT EQUITIES,ODDO BHF Corporates & Markets AG,ODDO BHF Corporates & Markets AG,2011-05-23,
Active,MAN WAH HLDGS (NEW)HD- 40,BMG5800U1071,000A1CWNV,BOERSE FRANKFURT EQUITIES,BAADER BANK AG,BAADER BANK AG,2011-05-23,
