Symbol,Name,Price(Intraday),Change,%Change,Volume,Avg Vol(3 month),Market Cap,PE Ratio(TTM),Type
BHP.F,BHP Group Limited,57.8,-0.4,-0.69%,80,48,208.004B,8.68,Basic Materials
BHP1.F,BHP Group Limited,29.09,-0.03,-0.10%,"1,523","5,433",207.206B,8.74,Basic Materials
LIN.F,Linde plc,344.7,0.0,0.00%,437,"1,734",169.146B,46.39,Basic Materials
LIN.DE,Linde plc,344.1,-2.05,-0.59%,"4,722","48,106",169.353B,42.64,Basic Materials
CRA1.F,Rio Tinto Group,73.9,0.75,+1.03%,780,258,118.753B,10.24,Basic Materials
RIOA.F,Rio Tinto Group,61.8,0.6,+0.98%,27,104,103.523B,8.58,Basic Materials
RIO1.F,Rio Tinto Group,61.75,-0.74,-1.18%,"1,165","1,940",100.301B,8.56,Basic Materials
RIO1.DE,Rio Tinto Group,61.7,-0.75,-1.20%,"10,756","52,650",99.39B,8.49,Basic Materials
AIL.F,L'Air Liquide S.A.,161.8,0.34,+0.21%,55,581,84.442B,30.64,Basic Materials
AIL.DE,L'Air Liquide S.A.,161.7,0.58,+0.36%,705,"1,082",84.411B,30.68,Basic Materials
AILA.F,L'Air Liquide S.A.,31.8,0.4,+1.27%,5,6,83.964B,29.72,Basic Materials
8GC.F,Glencore plc,5.55,0.02,+0.29%,"36,593","63,140",69.096B,4.48,Basic Materials
SEH.F,"Shin-Etsu Chemical Co., Ltd.",31.4,0.2,+0.64%,135,37,67.267B,14.27,Basic Materials
8GCA.F,Glencore plc,10.8,0.0,0.00%,366,221,67.229B,4.24,Basic Materials
CVLC.F,Vale S.A.,14.02,0.52,+3.82%,"13,107","3,107",61.285B,4.89,Basic Materials
AP3.F,"Air Products and Chemicals, Inc.",265.0,-1.3,-0.49%,30,66,59.567B,29.41,Basic Materials
SJ3.F,The Sherwin-Williams Company,226.1,1.1,+0.49%,28,7,58.405B,29.59,Basic Materials
CVLB.F,Vale S.A.,13.25,0.1,+0.76%,"1,541",366,57.911B,4.55,Basic Materials
FPMB.DE,Freeport-McMoRan Inc.,36.83,-0.17,-0.45%,307,"5,438",55.661B,23.16,Basic Materials
FPMB.F,Freeport-McMoRan Inc.,36.42,-0.15,-0.41%,100,595,54.838B,22.48,Basic Materials
PCU.F,Southern Copper Corporation,67.4,-0.4,-0.59%,70,139,53.005B,20.67,Basic Materials
ECJ.F,Ecolab Inc.,166.0,-0.05,-0.03%,23,126,47.264B,43.92,Basic Materials
FVJ.F,Fortescue Metals Group Limited,14.06,-0.04,-0.28%,"1,000","2,430",43.29B,7.77,Basic Materials
BASA.F,BASF SE,11.4,0.1,+0.88%,500,377,42.532B,,Basic Materials
BAS.DE,BASF SE,45.72,-0.63,-1.36%,1.127M,2.529M,41.514B,,Basic Materials
BAS.F,BASF SE,45.72,-0.59,-1.28%,"5,813","13,021",41.442B,,Basic Materials
NGLD.F,Anglo American plc,15.3,0.2,+1.32%,60,61,41.196B,8.95,Basic Materials
FJZ.F,Zijin Mining Group Company Limited,1.4005,0.0295,+2.15%,"5,000","1,997",40.534B,14.01,Basic Materials
SIKB.F,Sika AG,26.2,-0.2,-0.76%,140,16,40.376B,34.93,Basic Materials
NGLB.DE,Anglo American plc,29.7,-0.48,-1.59%,"6,336","18,738",39.788B,8.71,Basic Materials
NGLB.F,Anglo American plc,29.7,-0.16,-0.54%,"1,000",636,39.726B,8.71,Basic Materials
FJZB.F,Zijin Mining Group Company Limited,25.8,-0.2,-0.77%,4,0,39.346B,13.58,Basic Materials
2X0.SG,"Corteva, Inc.",52.3,-0.4,-0.76%,0,62,37.621B,33.53,Basic Materials
2X0.F,"Corteva, Inc.",51.5,-0.2,-0.39%,189,241,36.765B,31.21,Basic Materials
XCRA.F,CRH plc,48.0,0.0,0.00%,25,4,35.873B,14.77,Basic Materials
CRG.F,CRH plc,48.31,0.81,+1.71%,40,161,35.301B,14.46,Basic Materials
NUO.F,Nucor Corporation,138.5,1.15,+0.84%,25,26,34.794B,5.59,Basic Materials
4GE.F,"Grupo México, S.A.B. de C.V.",4.458,-0.0895,-1.97%,"5,328","1,328",34.706B,11.43,Basic Materials
2OY.SG,Dow Inc.,49.04,0.54,+1.11%,100,97,34.687B,12.8,Basic Materials
2OY.F,Dow Inc.,48.68,0.07,+0.14%,20,261,34.453B,12.68,Basic Materials
HLB.F,Holcim Ltd,11.6,-0.1,-0.85%,30,130,34.384B,10.18,Basic Materials
NMM.DE,Newmont Corporation,39.24,0.48,+1.24%,445,"8,123",31.185B,,Basic Materials
NMM.F,Newmont Corporation,38.68,0.18,+0.47%,140,"1,484",30.758B,,Basic Materials
PPQ.F,"PPG Industries, Inc.",127.0,-2.0,-1.55%,12,4,30.225B,25.71,Basic Materials
6D81.F,"DuPont de Nemours, Inc.",63.48,-0.38,-0.60%,50,124,29.138B,30.97,Basic Materials
DLY.F,LyondellBasell Industries N.V.,83.2,0.6,+0.73%,135,82,27.104B,9.48,Basic Materials
GIN1.F,Givaudan SA,58.5,-1.0,-1.68%,189,15,26.988B,31.28,Basic Materials
N7T.F,Nutrien Ltd.,54.2,0.0,0.00%,46,173,26.888B,4.44,Basic Materials
ABR.DE,Barrick Gold Corporation,15.27,0.22,+1.46%,"15,707","98,889",26.814B,254.58,Basic Materials
ABR.F,Barrick Gold Corporation,15.17,0.05,+0.33%,"3,860","11,961",26.708B,252.83,Basic Materials
3FO.F,Franco-Nevada Corporation,131.8,-0.6,-0.45%,215,69,25.386B,40.8,Basic Materials
VMC.F,Vulcan Materials Company,187.35,-3.65,-1.91%,2,1,25.063B,43.37,Basic Materials
AMC.F,Albemarle Corporation,212.1,3.35,+1.60%,24,650,24.887B,7.31,Basic Materials
MMX.F,"Martin Marietta Materials, Inc.",390.6,-1.4,-0.36%,17,0,24.241B,27.01,Basic Materials
AE9.F,Agnico Eagle Mines Limited,46.11,0.37,+0.81%,93,809,22.952B,9.85,Basic Materials
ARRJ.F,ArcelorMittal S.A.,25.6,-0.2,-0.78%,3,19,21.469B,3.77,Basic Materials
ARRD.F,ArcelorMittal S.A.,25.6,-0.1,-0.37%,"2,000",389,21.457B,3.83,Basic Materials
PKX.F,POSCO Holdings Inc.,67.0,-1.5,-2.19%,15,39,21.39B,14.92,Basic Materials
ARRD.DE,ArcelorMittal S.A.,25.48,-0.32,-1.24%,"7,287","31,615",21.348B,3.7,Basic Materials
TEKB.F,Teck Resources Limited,39.24,-0.71,-1.78%,91,321,20.624B,8.04,Basic Materials
TPT.F,Teck Resources Limited,38.6,-0.4,-1.03%,60,21,20.088B,7.52,Basic Materials
NI7.F,"Nippon Paint Holdings Co., Ltd.",7.95,0.1,+1.27%,3,10,19.6B,31.8,Basic Materials
QYM.F,Sociedad Química y Minera de Chile S.A.,66.2,0.6,+0.91%,10,531,18.909B,5.22,Basic Materials
FG1.F,Antofagasta plc,18.36,0.18,+0.99%,188,35,18.783B,12.24,Basic Materials
AQE.F,Anhui Conch Cement Company Limited,2.789,0.35,+14.35%,163,31,18.694B,8.45,Basic Materials
SII.F,Wheaton Precious Metals Corp.,41.05,0.25,+0.61%,315,578,18.589B,31.82,Basic Materials
IFF.F,International Flavors & Fragrances Inc.,72.4,0.4,+0.56%,150,42,18.469B,,Basic Materials
NPSA.F,Nippon Steel Corporation,6.15,-0.1,-1.60%,"6,000",0,17.834B,4.3,Basic Materials
NPS.F,Nippon Steel Corporation,19.08,-0.23,-1.21%,411,18,17.775B,4.42,Basic Materials
39E0.F,"Ganfeng Lithium Group Co., Ltd.",6.45,0.1,+1.57%,150,5,16.947B,5.2,Basic Materials
HWHG.F,Tata Steel Limited,12.6,0.3,+2.44%,11,101,16.231B,16.8,Basic Materials
SD5.F,"Steel Dynamics, Inc.",95.87,0.08,+0.08%,145,50,16.205B,5.15,Basic Materials
39EA.SG,"Ganfeng Lithium Group Co., Ltd.",6.5,0.04,+0.62%,0,"1,401",16.603B,5.24,Basic Materials
39EA.F,"Ganfeng Lithium Group Co., Ltd.",6.54,0.0,+0.06%,"4,342","1,370",16.507B,5.27,Basic Materials
RPL.F,UPM-Kymmene Oyj,29.61,0.39,+1.33%,250,763,15.792B,9.97,Basic Materials
IZ1.F,First Quantum Minerals Ltd.,22.58,1.27,+5.96%,259,62,15.772B,22.58,Basic Materials
D7N.F,CMOC Group Limited,0.5258,0.0092,+1.78%,"43,500","4,568",15.003B,17.53,Basic Materials
NMA.F,Newcrest Mining Limited,16.36,0.25,+1.53%,269,"1,050",14.807B,17.98,Basic Materials
NMAA.F,Newcrest Mining Limited,16.3,0.2,+1.24%,26,90,14.722B,17.34,Basic Materials
RPHA.F,Anglo American Platinum Limited,53.8,-0.2,-0.37%,25,137,14.475B,5.8,Basic Materials
RPH1.F,Anglo American Platinum Limited,8.85,-0.05,-0.56%,340,123,14.421B,5.86,Basic Materials
CNS.SG,China Steel Corporation,17.3,-0.2,-1.14%,0,0,13.664B,72.08,Basic Materials
RS6.F,Reliance Steel & Aluminum Co.,232.0,-2.0,-0.85%,8,0,13.64B,8.61,Basic Materials
NOHA.F,Norsk Hydro ASA,6.2,0.0,0.00%,"5,654",202,13.628B,8.05,Basic Materials
HEI.DE,Heidelberg Materials AG,71.86,-0.64,-0.88%,70.298k,"456,361",13.617B,8.62,Basic Materials
HEI.F,Heidelberg Materials AG,71.84,-0.58,-0.80%,300,558,13.591B,8.57,Basic Materials
UEO.F,Westlake Corporation,105.0,0.0,0.00%,5,2,13.58B,7.98,Basic Materials
HEIU.SG,Heidelberg Materials AG,14.1,0.0,0.00%,0,8,13.435B,8.34,Basic Materials
SY1.F,Symrise AG,95.96,0.82,+0.86%,100,208,13.413B,47.04,Basic Materials
HEIU.F,Heidelberg Materials AG,14.4,-0.1,-0.69%,40,16,13.405B,8.37,Basic Materials
SY1.DE,Symrise AG,95.18,0.02,+0.02%,100.570k,"356,849",13.298B,46.64,Basic Materials
NOH1.F,Norsk Hydro ASA,6.28,0.03,+0.42%,510,"1,750",13.246B,7.56,Basic Materials
188H.DU,"Shandong Gold Mining Co., Ltd.",1.74,0.05,+2.96%,400,0,12.909B,58.0,Basic Materials
NZM2.F,Novozymes A/S,45.35,-0.08,-0.18%,260,221,12.865B,26.52,Basic Materials
NZM.F,Novozymes A/S,45.0,-0.8,-1.75%,50,3,12.585B,26.16,Basic Materials
AKU1.F,Akzo Nobel N.V.,71.92,0.04,+0.06%,5,65,12.27B,40.86,Basic Materials
EDG.F,Gold Fields Limited,13.7,-0.1,-0.72%,"6,678",903,12.475B,19.3,Basic Materials
C4F.F,"CF Industries Holdings, Inc.",63.48,-0.48,-0.75%,300,38,12.825B,4.56,Basic Materials
EDGA.F,Gold Fields Limited,13.65,0.2,+1.49%,275,"3,365",12.341B,18.45,Basic Materials
AKUP.F,Akzo Nobel N.V.,23.8,0.0,0.00%,1,0,12.181B,23.56,Basic Materials
AVG.SG,"Avantor, Inc.",17.95,0.31,+1.73%,0,0,12.12B,21.12,Basic Materials
AVG.F,"Avantor, Inc.",17.94,0.12,+0.65%,400,7,12.114B,21.11,Basic Materials
FMQ.F,FMC Corporation,96.54,0.46,+0.48%,53,13,12.071B,16.04,Basic Materials
SPXB.F,Suzano S.A.,9.05,0.25,+2.84%,500,0,11.747B,3.33,Basic Materials
SPXB.SG,Suzano S.A.,8.95,0.25,+2.87%,0,0,11.667B,3.34,Basic Materials
