Symbol,Name,Price(Intraday),Change,%Change,Volume,Avg Vol(3 month),Market Cap,PE Ratio(TTM)
APC8.F,Apple Inc.,18.90,0.00,0.00%,166,43,2.725T,3.52
APC.DE,Apple Inc.,170.04,+0.10,+0.06%,"78,151","72,966",2.703T,31.26
APC.F,Apple Inc.,169.84,+0.28,+0.17%,"8,041","6,518",2.692T,31.11
MSF.F,Microsoft Corporation,319.00,+9.75,+3.15%,"5,625","4,229",2.398T,37.22
MSF.DE,Microsoft Corporation,316.15,+4.20,+1.35%,"45,728","40,141",2.356T,36.46
MSF0.F,Microsoft Corporation,17.50,+0.10,+0.57%,345,204,2.338T,1.96
ABE0.F,Alphabet Inc.,14.40,-0.10,-0.69%,200,29,1.474T,26.18
ABEC.F,Alphabet Inc.,114.90,+1.06,+0.93%,987,"1,545",1.471T,27.55
ABEC.DE,Alphabet Inc.,114.42,-0.40,-0.35%,"16,447","16,596",1.459T,27.37
ABEA.DE,Alphabet Inc.,113.88,-0.30,-0.26%,"59,555","60,836",1.459T,27.31
ABEA.F,Alphabet Inc.,113.84,+0.76,+0.67%,"3,025","6,919",1.458T,27.37
AMZ.F,"Amazon.com, Inc.",116.20,+0.06,+0.05%,"3,715","9,867",1.192T,283.41
AMZ.DE,"Amazon.com, Inc.",115.44,-1.14,-0.98%,"93,768","91,605",1.184T,296.00
AMZ1.F,"Amazon.com, Inc.",10.60,0.00,0.00%,10,131,1.18T,265.00
NVD.DE,NVIDIA Corporation,391.70,+3.75,+0.97%,"59,587","36,514",993.896B,215.22
NVDG.F,NVIDIA Corporation,28.80,0.00,0.00%,"1,955",357,984.381B,14.92
NVD.F,NVIDIA Corporation,389.95,-6.10,-1.54%,"7,097","3,694",969.221B,209.65
TL0.F,"Tesla, Inc.",233.95,-1.20,-0.51%,"17,246","7,303",781.957B,75.47
TL0.DE,"Tesla, Inc.",235.70,-1.85,-0.78%,"236,659","136,804",779.938B,74.12
TL01.F,"Tesla, Inc.",16.20,-0.40,-2.41%,565,800,703.958B,70.43
BRYN.F,Berkshire Hathaway Inc.,310.40,+2.40,+0.78%,712,793,685.733B,98.85
BRHF.F,Berkshire Hathaway Inc.,17.80,-0.10,-0.56%,1,30,676.628B,5.60
BRYN.DE,Berkshire Hathaway Inc.,310.60,-2.40,-0.77%,"6,795","7,051",675.21B,99.23
BRH.F,Berkshire Hathaway Inc.,"465,000.00","-5,000.00",-1.06%,1,0,673.19B,98.94
FB20.F,"Meta Platforms, Inc.",10.70,+0.10,+0.94%,260,100,655.433B,1.36
FB2A.F,"Meta Platforms, Inc.",259.00,+7.45,+2.96%,"1,712","1,751",668.539B,33.99
FB2A.DE,"Meta Platforms, Inc.",254.00,+2.10,+0.83%,"16,133","20,616",654.721B,33.29
BTL.SG,Baxter International Inc,39.90,-0.10,-0.25%,0,43,396.459B,N/A
TSFA.F,Taiwan Semiconductor Manufacturing Company Limited,96.70,-2.20,-2.22%,"2,401","1,877",501.526B,17.24
3V64.F,Visa Inc.,206.85,-0.40,-0.19%,391,415,432.921B,29.72
MOHF.F,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",168.00,-3.00,-1.75%,414,101,432.719B,31.23
CMC.F,JPMorgan Chase & Co.,130.20,-1.80,-1.36%,656,547,380.482B,10.33
CMC.DE,JPMorgan Chase & Co.,130.00,-1.10,-0.84%,833,"2,080",380.03B,10.39
3V6.F,Visa Inc.,14.90,-0.10,-0.67%,7,0,430.866B,2.16
MOH.F,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",845.60,-4.70,-0.55%,259,492,428.307B,30.92
3V64.DE,Visa Inc.,204.95,-2.70,-1.30%,"1,969","1,610",428.118B,29.66
MOH.DE,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",844.40,-4.00,-0.47%,"1,124","1,872",426.096B,30.76
UNH.DE,UnitedHealth Group Incorporated,431.50,+11.00,+2.62%,"1,874",336,407.224B,22.90
LLY.F,Eli Lilly and Company,417.60,+5.80,+1.41%,468,391,399.485B,71.88
UNH.F,UnitedHealth Group Incorporated,426.50,+2.50,+0.59%,760,130,399.183B,22.55
LLY.DE,Eli Lilly and Company,415.00,+4.80,+1.17%,559,985,398.546B,71.31
NNN1.F,Tencent Holdings Limited,41.60,+0.20,+0.48%,420,474,398.156B,16.12
WMTD.F,Walmart Inc.,15.90,+0.20,+1.27%,1,3,396.53B,4.09
NNND.F,Tencent Holdings Limited,41.42,-0.08,-0.19%,"2,872","6,187",396.434B,15.99
XONA.F,Exxon Mobil Corporation,97.45,+0.47,+0.48%,727,"1,726",395.987B,7.24
XONA.DE,Exxon Mobil Corporation,97.43,+0.10,+0.10%,"3,999","4,975",394.481B,7.25
WMT.F,Walmart Inc.,145.36,+0.34,+0.23%,220,277,392.459B,37.08
WMT.DE,Walmart Inc.,144.42,-0.22,-0.15%,874,"1,761",390.946B,37.13
JNJ.DE,Johnson & Johnson,149.50,+0.60,+0.40%,"2,703","4,107",390.724B,33.60
JNJ.F,Johnson & Johnson,148.90,-0.30,-0.20%,867,967,388.374B,33.39
CMCI.F,JPMorgan Chase & Co.,13.20,-0.20,-1.49%,2,0,377.525B,1.03
SSU.SG,Samsung Electronics Co Ltd,"1,290.00",-5.00,-0.39%,0,18,461.396B,10.72
1YD.F,Broadcom Inc.,798.90,+6.90,+0.87%,54,47,349.088B,28.37
SSU.F,"Samsung Electronics Co., Ltd.","1,280.00",-15.00,-1.16%,15,44,347.785B,10.57
SSUN.F,"Samsung Electronics Co., Ltd.","1,082.00",-12.00,-1.10%,35,146,346.296B,8.94
NOVC.F,Novo Nordisk A/S,148.58,+1.26,+0.86%,"2,774","2,527",332.189B,40.82
NOVA.F,Novo Nordisk A/S,148.00,+1.50,+1.02%,58,343,331.878B,40.44
NOVC.DE,Novo Nordisk A/S,148.16,+1.32,+0.90%,"20,352","23,836",331.431B,40.70
M4I.F,Mastercard Incorporated,344.60,-1.80,-0.52%,60,84,327.459B,36.97
M4I.DE,Mastercard Incorporated,342.60,-5.20,-1.50%,126,341,324.248B,36.60
M4I0.F,Mastercard Incorporated,16.40,-0.30,-1.80%,6,0,323.257B,1.75
PRG.F,The Procter & Gamble Company,135.50,+0.12,+0.09%,"1,959","1,383",320.161B,25.14
PRG.DE,The Procter & Gamble Company,134.96,-0.02,-0.01%,"3,664","4,029",319.83B,25.32
ORC.F,Oracle Corporation,115.42,+2.64,+2.34%,"2,523",565,313.133B,38.73
ORC.DE,Oracle Corporation,114.74,+2.02,+1.79%,"5,756","2,171",311.454B,39.43
NESM.F,Nestlé S.A.,111.00,+1.00,+0.91%,43,256,296.159B,31.62
HDI0.F,"The Home Depot, Inc.",13.70,0.00,0.00%,100,0,279.292B,0.90
HDI.DE,"The Home Depot, Inc.",276.60,-0.20,-0.07%,364,580,279.089B,18.27
HDI.F,"The Home Depot, Inc.",275.40,-0.40,-0.15%,97,130,278.887B,18.38
CHV.DE,Chevron Corporation,146.32,+0.82,+0.56%,714,"1,211",277.424B,8.59
CHV.F,Chevron Corporation,145.06,-3.10,-2.09%,796,429,274.836B,8.35
YIQG.F,Barclays Bank PLC,94.74,-0.11,-0.12%,N/A,0,199.813B,N/A
ASMF.F,ASML Holding N.V.,672.00,-8.00,-1.18%,106,33,265.398B,38.60
ASME.DE,ASML Holding N.V.,674.80,-7.50,-1.10%,"3,611","3,053",266.269B,38.78
ASME.F,ASML Holding N.V.,672.20,-11.20,-1.64%,396,433,265.243B,38.72
NCB.F,Bank of America Corporation,26.78,-0.14,-0.52%,"2,778","4,508",213.977B,8.78
NCB.DE,Bank of America Corporation,26.66,-0.60,-2.20%,"3,147","16,878",212.458B,8.68
6MK.DE,"Merck & Co., Inc.",100.00,-0.20,-0.20%,"4,014","1,163",255.05B,21.37
6MK.F,"Merck & Co., Inc.",100.00,-1.40,-1.38%,420,439,253.744B,21.14
CCC.F,The Coca-Cola Company,15.30,0.00,0.00%,1,22,243.952B,7.22
CCC3.F,The Coca-Cola Company,55.98,-0.32,-0.57%,"3,005","3,128",242.565B,26.41
CCC3.DE,The Coca-Cola Company,55.70,-0.57,-1.01%,"21,112","8,920",241.481B,26.27
PEP.F,"PepsiCo, Inc.",169.98,+1.78,+1.06%,103,271,234.18B,38.20
PEP.DE,"PepsiCo, Inc.",168.90,+0.28,+0.17%,"1,098","1,088",232.692B,38.04
LORA.F,L'Oréal S.A.,84.50,+5.00,+6.29%,24,7,226.116B,38.94
4AB0.F,AbbVie Inc.,13.70,-0.30,-2.14%,139,0,218.004B,3.60
RHO6.F,Roche Holding AG,34.60,-0.42,-1.19%,11,56,221.642B,17.30
LOR.F,L'Oréal S.A.,409.75,-1.60,-0.39%,59,405,220.739B,39.06
LOR.DE,L'Oréal S.A.,407.95,-3.40,-0.83%,315,443,220.428B,39.34
CTO0.F,Costco Wholesale Corporation,17.10,+0.10,+0.59%,20,0,217.822B,1.36
AHLA.F,Alibaba Group Holding Limited,84.10,+1.65,+2.00%,"3,401","2,572",220.131B,23.56
4AB.F,AbbVie Inc.,124.70,-1.60,-1.27%,410,275,220.007B,31.65
4AB.DE,AbbVie Inc.,124.40,-2.60,-2.05%,"1,254",695,219.478B,31.57
2RR.F,Alibaba Group Holding Limited,10.60,+0.56,+5.53%,"1,322","2,644",218.815B,24.10
ADB.F,Adobe Inc.,451.90,+9.50,+2.15%,837,929,208.257B,47.97
