19. Dez 2018,Delisted (Notierungsaufnahme),Deutsche Industrie REIT-AG, Finanzdienstleistung,None,None," € 11,45 "," € 257.625.824,40"
29. Okt 2018,Delisted (Notierungsaufnahme),Linde plc, Chemie,None,None," € 147,00 "," € 81.005.021.643,00"
12. Aug 2015,Delisted (Notierungsaufnahme),Fyber N.V., Software,None,None," € 3,53 "," € 404.302.665,49"
08. Jun 2015,Delisted (Notierungsaufnahme),Mars One Ventures AG, Finanzdienstleistung,None,None," € 3,75 "," € 45.000.000,00"
18. Sep 2014,Delisted (Notierungsaufnahme),STRATEVIC FINANCE GR. AB, Software,None,None," € 3,00 "," € 1.091.249.994,00"
25. Aug 2014,Delisted (Notierungsaufnahme),Xin Rui Ke (China) AG, Handel,None,None," € 9,08 "," € 164.445.156,00"
31. Jul 2014,Delisted (Notierungsaufnahme),VALENS Holding AG, Finanzdienstleistung,None,None," € 7,50 "," € 75.000.000,00"
11. Jun 2014,Delisted (Notierungsaufnahme),Rapid Nutrition PLC, Handel,None,None," € 2,90 "," € 67.246.374,50"
16. Apr 2014,Delisted (Notierungsaufnahme),Bancorp Wealth Management New Zealand Ltd., Banken,None,None," € 4,20 "," € 41.998.315,80"
27. Jan 2014,Delisted (Notierungsaufnahme),Tintbright AG, Konsumgüter,None,None," € 12,20 "," € 24.400.000,00"
22. Jan 2014,Delisted (Notierungsaufnahme),DO Deutsche Office AG, Finanzdienstleistung,None,None," € 3,25 "," € 435.309.371,25"
11. Okt 2013,Delisted (Notierungsaufnahme),VanCamel AG, Handel,None,None," € 2,10 "," € 31.500.000,00"
07. Jun 2013,Delisted (Notierungsaufnahme),Pacific Retail Merchants AG, Handel,None,None," € 2,25 "," € 14.406.766,00"
06. Mär 2013,Delisted (Notierungsaufnahme),Management Resource Solutions PLC, Industrie,None,None," € 1,40 "," € 42.560.000,00"
29. Jun 2012,Delisted (Notierungsaufnahme),biolitec AG, Pharma & Gesundheit,None,None,None,None
25. Mai 2012,Delisted (Notierungsaufnahme),FilmConfect AG, Medien,None,None," € 1,00 "," € 868.481,00"
04. Apr 2012,Delisted (Notierungsaufnahme),CIG Wireless Corp., Technologie,None,None,None,None
23. Mär 2012,Delisted (Notierungsaufnahme),Sofrinsky Experimental Mechanical Plant OJSC, Industrie,None,None," € 3,00 "," € 67.704.000,00"
29. Dez 2011,Delisted (Notierungsaufnahme),Gruschwitz Textilwerke AG, Industrie,None,None," € 118,00 "," € 19.824.000,00"
08. Dez 2011,Delisted (Notierungsaufnahme),Waste4Power PLC, -kein-,None,None," € 3,59 "," € 71.800.000,00"
08. Dez 2011,Delisted (Notierungsaufnahme),Van Beuren & Rosenthal Inc., -kein-,None,None," € 2,06 "," € 1.069.758,00"
07. Dez 2011,Delisted (Notierungsaufnahme),Flash Listings Ltd., -kein-,None,None," € 0,821 "," € 82.126.272,00"
06. Dez 2011,Delisted (Notierungsaufnahme),Micro Tissue Technology PLC, -kein-,None,None," € 2,34 "," € 46.920.000,00"
30. Nov 2011,Delisted (Notierungsaufnahme),Optimizer International Group Inc., -kein-,None,None," € 0,58 "," € 2.915.000,00"
30. Nov 2011,Delisted (Notierungsaufnahme),International SX Industries Inc., -kein-,None,None," € 0,60 "," € 2.158.950,00"
29. Nov 2011,Delisted (Notierungsaufnahme),Goldplex Resources Inc., -kein-,None,None," € 1,11 "," € 18.057.414,38"
29. Nov 2011,Delisted (Notierungsaufnahme),NES Industries Inc., -kein-,None,None," € 2,50 "," € 12.500.000,00"
29. Nov 2011,Delisted (Notierungsaufnahme),Spütz AG, -kein-,None,None," € 1,63 "," € 9.780.000,00"
29. Nov 2011,Delisted (Notierungsaufnahme),UAE Minerals Inc., -kein-,None,None," € 5,00 "," € 25.000.000,00"
29. Nov 2011,Delisted (Notierungsaufnahme),Clearpoint Projects Company Inc., -kein-,None,None," € 2,50 "," € 12.500.000,00"
23. Nov 2011,Delisted (Notierungsaufnahme),Entrade Capital PLC, -kein-,None,None," € 2,42 "," € 12.100.000,00"
22. Nov 2011,Delisted (Notierungsaufnahme),BioMass Energy and Technology Holding Inc., -kein-,None,None," € 1,83 "," € 88.857.948,48"
22. Nov 2011,Delisted (Notierungsaufnahme),First Eco Energy PLC, -kein-,None,None," € 0,05 "," € 250.000,00"
15. Nov 2011,Delisted (Notierungsaufnahme),Orion Equity Holdings PLC, -kein-,None,None,None,None
14. Nov 2011,Delisted (Notierungsaufnahme),SecurLinx Holding Corp., -kein-,None,None," € 0,65 "," € 3.250.000,00"
10. Nov 2011,Delisted (Notierungsaufnahme),Synergy Medical Group Corp., -kein-,None,None," € 0,95 "," € 5.911.375,00"
10. Nov 2011,Delisted (Notierungsaufnahme),Prudential Global Real Estate Corp., -kein-,None,None," € 0,77 "," € 11.550.000,00"
09. Nov 2011,Delisted (Notierungsaufnahme),Giant Luxury [UK] PLC, -kein-,None,None," € 1,02 "," € 5.125.000,00"
04. Nov 2011,Delisted (Notierungsaufnahme),Rial Finance PLC, -kein-,None,None," € 1,00 "," € 5.000.000,00"
31. Okt 2011,Delisted (Notierungsaufnahme),NNR N Natural Resources Inc., -kein-,None,None," € 2,10 "," € 2.178.928,50"
31. Okt 2011,Delisted (Notierungsaufnahme),South Pacific Biofuels PLC, -kein-,None,None," € 2,098 "," € 10.490.000,00"
31. Okt 2011,Delisted (Notierungsaufnahme),Prime Mantle Corporation PLC, -kein-,None,None," € 0,10 "," € 22.722.831,00"
27. Okt 2011,Delisted (Notierungsaufnahme),Westhouse Medical Services PLC, -kein-,None,None," € 0,82 "," € 25.720.667,00"
27. Okt 2011,Delisted (Notierungsaufnahme),Yuxinlong International Ltd., -kein-,None,None," € 2,97 "," € 19.350.500,00"
26. Okt 2011,Delisted (Notierungsaufnahme),Jufeel HengChang Precious Metal Renewable Resource AG, -kein-,None,None," € 1,05 "," € 525.000,00"
25. Okt 2011,Delisted (Notierungsaufnahme),ADC Cable Plc., -kein-,None,None,None,None
21. Okt 2011,Delisted (Notierungsaufnahme),Koch Gruppe Automobile AG, -kein-,None,None," € 0,55 "," € 1.469.798,00"
21. Okt 2011,Delisted (Notierungsaufnahme),ECO Capital Investments Corp., -kein-,None,None," € 1,11 "," € 55.500.000,00"
17. Okt 2011,Delisted (Notierungsaufnahme),Bracken International Mining, -kein-,None,None," € 1,10 "," € 550.000.000,00"
17. Okt 2011,Delisted (Notierungsaufnahme),La Bonita PLC, -kein-,None,None," € 1,24 "," € 12.400.000,00"
14. Okt 2011,Delisted (Notierungsaufnahme),Bluetail Inc., -kein-,None,None," € 0,51 "," € 5.100.000,00"
10. Okt 2011,Delisted (Notierungsaufnahme),MR 123 PLC, -kein-,None,None," € 0,75 "," € 75.000.000,00"
06. Okt 2011,Delisted (Notierungsaufnahme),Salt of Life International AG, -kein-,None,None," € 7,02 "," € 56.160.000,00"
06. Okt 2011,Delisted (Notierungsaufnahme),ABO Invest AG, -kein-,None,None," € 1,13 "," € 5.625.000,00"
05. Okt 2011,Delisted (Notierungsaufnahme),United Mining PLC, -kein-,None,None," € 1,15 "," € 5.750.000,00"
04. Okt 2011,Delisted (Notierungsaufnahme),Petrolog Energy Inc., -kein-,None,None," € 3,10 "," € 37.260.000,00"
30. Sep 2011,Delisted (Notierungsaufnahme),Haldane Mccall PLC, -kein-,None,None," € 0,62 "," € 86.800.000,00"
30. Sep 2011,Delisted (Notierungsaufnahme),PG Alluvial Mining PLC, -kein-,None,None," € 1,53 "," € 60.150.420,00"
30. Sep 2011,Delisted (Notierungsaufnahme),WSH Sporthorses AG, -kein-,None,None," € 31,60 "," € 413.960,00"
29. Sep 2011,Delisted (Notierungsaufnahme),Asia Growth Venture PLC, -kein-,None,None,None,None
28. Sep 2011,Delisted (Notierungsaufnahme),Astra Resources PLC, -kein-,None,None," € 1,60 "," € 1.442.928.603,00"
27. Sep 2011,Delisted (Notierungsaufnahme),Drywave Technologies Inc., -kein-,None,None," € 0,85 "," € 637.500,00"
22. Sep 2011,Delisted (Notierungsaufnahme),Hemi-Phon PLC, -kein-,None,None," € 0,12 "," € 42.840.000,00"
15. Sep 2011,Delisted (Notierungsaufnahme),Harmoni Resources PLC, -kein-,None,None," € 0,29 "," € 24.360.000,00"
12. Sep 2011,Delisted (Notierungsaufnahme),Xytos International Inc., -kein-,None,None," € 1,00 "," € 25.000.000,00"
