name,ISIN,CCP-fähig,Markt
029 GROUP SE INH O.N. (EUR), DE000A2LQ2D0,Yes, Xetra
1+1 AG INH O.N. (EUR), DE0005545503,Yes, Xetra
11 88 0 SOLUTIONS AG (EUR), DE0005118806,Yes, Xetra
123FAHRSCHULE SE INH O.N. (EUR), DE000A2P4HL9,Yes, Xetra
2G ENERGY AG (EUR), DE000A0HL8N9,Yes, Xetra
2INVEST AG NA O.N. (EUR), DE000A3H3L44,Yes, Xetra
"3 D SYS CORP. DL-,001 (EUR)", US88554D2053,Yes, Xetra
"3M CO. DL-,01 (EUR)", US88579Y1010,Yes, Xetra
3U HOLDING AG (EUR), DE0005167902,Yes, Xetra
468 SPAC II SE EO 1 (EUR), LU2380748603,Yes, Xetra
4BASEBIO PLC EO 1 (EUR), GB00BMCLYF79,Yes, Xetra
7C SOLARPARKEN AG O.N. (EUR), DE000A11QW68,Yes, Xetra
A.P.MOELL.-M.NAM A DK1000 (EUR), DK0010244425,Yes, Xetra
A.P.MOELL.-M.NAM B DK1000 (EUR), DK0010244508,Yes, Xetra
A.S.CREATION TAPETEN NA (EUR), DE000A1TNNN5,Yes, Xetra
AAP IMPLANTATE AG O.N. (EUR), DE000A3H2101,Yes, Xetra
AAREAL BANK AG (EUR), DE0005408116,Yes, Xetra
ABBOTT LABS (EUR), US0028241000,Yes, Xetra
"ABBVIE INC. DL-,01 (EUR)", US00287Y1091,Yes, Xetra
ABO WIND AG O.N. (EUR), DE0005760029,Yes, Xetra
ABOUT YOU HOLDING SE (EUR), DE000A3CNK42,Yes, Xetra
ACCENTRO R.EST.AG O.N. (EUR), DE000A0KFKB3,Yes, Xetra
ACCOR SA INH. EO 3 (EUR), FR0000120404,Yes, Xetra
ACTIVISION BLIZZARD INC. (EUR), US00507V1098,Yes, Xetra
"AD PEPPER MEDIA EO 0,05 (EUR)", NL0000238145,Yes, Xetra
ADESSO SE INH O.N. (EUR), DE000A0Z23Q5,Yes, Xetra
ADIDAS AG NA O.N. (EUR), DE000A1EWWW0,Yes, Xetra
ADLER GROUP S.A. NPV (EUR), LU1250154413,Yes, Xetra
ADLER REAL ESTATE AG (EUR), DE0005008007,Yes, Xetra
ADOBE INC. (EUR), US00724F1012,Yes, Xetra
ADTRAN HOLDINGS INC. (EUR), US00486H1059,Yes, Xetra
ADV.BLOCKCHAIN AG INH ON (EUR), DE000A0M93V6,Yes, Xetra
ADVA OPT.NETW.SE O.N. (EUR), DE0005103006,Yes, Xetra
"ADVANCED MIC.DEV. DL-,01 (EUR)", US0079031078,Yes, Xetra
"ADYEN N.V. EO-,01 (EUR)", NL0012969182,Yes, Xetra
AEGON NV (DEMAT.) EO-12 (EUR), NL0000303709,Yes, Xetra
"AFLAC INC. DL -,10 (EUR)", US0010551028,Yes, Xetra
"AGCO CORP. DL-,01 (EUR)", US0010841023,Yes, Xetra
AGEAS SA/NV (EUR), BE0974264930,Yes, Xetra
AGRANA BET.AG INH. (EUR), AT000AGRANA3,Yes, Xetra
"AHOLD DELHAIZE,KON.EO-,01 (EUR)", NL0011794037,Yes, Xetra
AIFINYO AG INH O.N. (EUR), DE000A2G8XP9,Yes, Xetra
AIR FRANCE-KLM INH. EO 1 (EUR), FR0000031122,Yes, Xetra
"AIR LIQUIDE INH. EO 5,50 (EUR)", FR0000120073,Yes, Xetra
AIR PROD. CHEM. DL 1 (EUR), US0091581068,Yes, Xetra
"AIRBNB INC. DL-,01 (EUR)", US0090661010,Yes, Xetra
AIRBUS SE (EUR), NL0000235190,Yes, Xetra
AIXTRON SE NA O.N. (EUR), DE000A0WMPJ6,Yes, Xetra
"AKAMAI TECH. DL-,01 (EUR)", US00971T1016,Yes, Xetra
"ALBEMARLE CORP. DL-,01 (EUR)", US0126531013,Yes, Xetra
ALBIS LEASING AG O.N. (EUR), DE0006569403,Yes, Xetra
ALCOA CORP. O.N. (EUR), US0138721065,Yes, Xetra
"ALFEN N.V. EO -,10 (EUR)", NL0012817175,Yes, Xetra
ALIBABA GR.HLDG SP.ADR 8 (EUR), US01609W1027,Yes, Xetra
"ALIGN TECHNOLOGY DL-,0001 (EUR)", US0162551016,Yes, Xetra
ALL FOR ONE GROUP NA O.N. (EUR), DE0005110001,Yes, Xetra
ALLGEIER SE NA O.N. (EUR), DE000A2GS633,Yes, Xetra
ALLIANZ SE NA O.N. (EUR), DE0008404005,Yes, Xetra
"ALLSTATE CORP. DL-,01 (EUR)", US0200021014,Yes, Xetra
"ALLY FINANCIAL INC.DL-,10 (EUR)", US02005N1000,Yes, Xetra
ALMONTY INDUSTRIES INC. (EUR), CA0203981034,Yes, Xetra
