Ngày,Giá điều chỉnh,Giá đóng cửa,Thay đổi (+/-%),GD khớp lệnh_KL,GD khớp lệnh_GT,GD thỏa thuận_KL,GD thỏa thuận_GT,Giá mở cửa,Giá cao nhất, Giá thấp nhất
14/06/2023,61.70,61.70,-0.20,"1,234,500","76,147,000,000",0,0,62.20,62.40,61.00
13/06/2023,61.90,61.90,-0.20,"1,073,500","66,892,000,000",0,0,62.70,63.10,61.70
12/06/2023,62.10,62.10,4.00,"2,635,300","158,715,000,000",0,0,58.30,62.10,58.20
09/06/2023,58.10,58.10,0.90,"940,500","53,786,000,000","25,000","1,430,000,000",57.40,58.10,56.60
08/06/2023,57.20,57.20,-0.30,"1,041,400","59,894,000,000",0,0,57.50,57.90,57.10
07/06/2023,57.50,57.50,0.20,"754,600","43,163,000,000",0,0,57.70,57.90,56.70
06/06/2023,57.30,57.30,0.70,"1,129,200","65,142,000,000",0,0,57.30,58.60,57.00
05/06/2023,56.61,65.60,-0.40,"1,029,600","68,437,000,000",0,0,67.50,67.50,65.60
02/06/2023,56.95,66.00,1.10,"1,380,900","90,418,000,000",0,0,65.00,66.50,64.50
01/06/2023,56.00,64.90,1.20,"704,500","45,258,000,000",0,0,64.00,64.90,63.70
31/05/2023,54.97,63.70,-1.20,"558,900","36,047,000,000",0,0,64.90,65.20,63.70
30/05/2023,56.00,64.90,1.70,"1,244,200","80,434,000,000",0,0,63.30,65.30,63.30
29/05/2023,54.54,63.20,0.20,"417,800","26,428,000,000",0,0,63.70,63.70,63.00
26/05/2023,54.36,63.00,0.20,"388,000","24,383,000,000","3,000","189,000,000",63.00,63.50,62.50
25/05/2023,54.19,62.80,0.00,"434,300","27,097,000,000",0,0,62.80,62.90,62.00
24/05/2023,54.19,62.80,0.10,"308,500","19,386,000,000",0,0,62.70,63.00,62.70
23/05/2023,54.10,62.70,-0.30,"416,200","26,214,000,000",0,0,63.40,63.40,62.70
22/05/2023,54.36,63.00,0.70,"337,800","21,206,000,000",0,0,62.30,63.30,62.30
19/05/2023,53.76,62.30,-0.20,"305,100","18,960,000,000",0,0,62.00,62.90,61.90
18/05/2023,53.93,62.50,0.50,"362,800","22,509,000,000",0,0,62.00,62.50,61.70
14/06/2023,61.70,61.70,-0.20,"1,234,500","76,147,000,000",0,0,62.20,62.40,61.00
13/06/2023,61.90,61.90,-0.20,"1,073,500","66,892,000,000",0,0,62.70,63.10,61.70
12/06/2023,62.10,62.10,4.00,"2,635,300","158,715,000,000",0,0,58.30,62.10,58.20
09/06/2023,58.10,58.10,0.90,"940,500","53,786,000,000","25,000","1,430,000,000",57.40,58.10,56.60
08/06/2023,57.20,57.20,-0.30,"1,041,400","59,894,000,000",0,0,57.50,57.90,57.10
07/06/2023,57.50,57.50,0.20,"754,600","43,163,000,000",0,0,57.70,57.90,56.70
06/06/2023,57.30,57.30,0.70,"1,129,200","65,142,000,000",0,0,57.30,58.60,57.00
05/06/2023,56.61,65.60,-0.40,"1,029,600","68,437,000,000",0,0,67.50,67.50,65.60
02/06/2023,56.95,66.00,1.10,"1,380,900","90,418,000,000",0,0,65.00,66.50,64.50
01/06/2023,56.00,64.90,1.20,"704,500","45,258,000,000",0,0,64.00,64.90,63.70
31/05/2023,54.97,63.70,-1.20,"558,900","36,047,000,000",0,0,64.90,65.20,63.70
30/05/2023,56.00,64.90,1.70,"1,244,200","80,434,000,000",0,0,63.30,65.30,63.30
29/05/2023,54.54,63.20,0.20,"417,800","26,428,000,000",0,0,63.70,63.70,63.00
26/05/2023,54.36,63.00,0.20,"388,000","24,383,000,000","3,000","189,000,000",63.00,63.50,62.50
25/05/2023,54.19,62.80,0.00,"434,300","27,097,000,000",0,0,62.80,62.90,62.00
24/05/2023,54.19,62.80,0.10,"308,500","19,386,000,000",0,0,62.70,63.00,62.70
23/05/2023,54.10,62.70,-0.30,"416,200","26,214,000,000",0,0,63.40,63.40,62.70
22/05/2023,54.36,63.00,0.70,"337,800","21,206,000,000",0,0,62.30,63.30,62.30
19/05/2023,53.76,62.30,-0.20,"305,100","18,960,000,000",0,0,62.00,62.90,61.90
18/05/2023,53.93,62.50,0.50,"362,800","22,509,000,000",0,0,62.00,62.50,61.70
14/06/2023,61.70,61.70,-0.20,"1,234,500","76,147,000,000",0,0,62.20,62.40,61.00
13/06/2023,61.90,61.90,-0.20,"1,073,500","66,892,000,000",0,0,62.70,63.10,61.70
12/06/2023,62.10,62.10,4.00,"2,635,300","158,715,000,000",0,0,58.30,62.10,58.20
09/06/2023,58.10,58.10,0.90,"940,500","53,786,000,000","25,000","1,430,000,000",57.40,58.10,56.60
08/06/2023,57.20,57.20,-0.30,"1,041,400","59,894,000,000",0,0,57.50,57.90,57.10
07/06/2023,57.50,57.50,0.20,"754,600","43,163,000,000",0,0,57.70,57.90,56.70
06/06/2023,57.30,57.30,0.70,"1,129,200","65,142,000,000",0,0,57.30,58.60,57.00
05/06/2023,56.61,65.60,-0.40,"1,029,600","68,437,000,000",0,0,67.50,67.50,65.60
02/06/2023,56.95,66.00,1.10,"1,380,900","90,418,000,000",0,0,65.00,66.50,64.50
01/06/2023,56.00,64.90,1.20,"704,500","45,258,000,000",0,0,64.00,64.90,63.70
31/05/2023,54.97,63.70,-1.20,"558,900","36,047,000,000",0,0,64.90,65.20,63.70
30/05/2023,56.00,64.90,1.70,"1,244,200","80,434,000,000",0,0,63.30,65.30,63.30
