Time,Stock Exchange,Name,Field,Offer Price,Total Offering Value,Initial Listing Price,MarketCap
Symbol,Name,Price(Intraday),Change,%Change,Volume,Avg Vol(3 month),Market Cap,PE Ratio(TTM)
BHP.F,BHP Group Limited,57.80,-0.40,-0.69%,80,48,208.004B,8.68
BHP1.F,BHP Group Limited,29.09,-0.03,-0.10%,"1,523","5,433",207.206B,8.74
LIN.F,Linde plc,344.70,0.00,0.00%,437,"1,734",169.146B,46.39
LIN.DE,Linde plc,344.10,-2.05,-0.59%,"4,722","48,106",169.353B,42.64
CRA1.F,Rio Tinto Group,73.90,+0.75,+1.03%,780,258,118.753B,10.24
RIOA.F,Rio Tinto Group,61.80,+0.60,+0.98%,27,104,103.523B,8.58
RIO1.F,Rio Tinto Group,61.75,-0.74,-1.18%,"1,165","1,940",100.301B,8.56
RIO1.DE,Rio Tinto Group,61.70,-0.75,-1.20%,"10,756","52,650",99.39B,8.49
AIL.F,L'Air Liquide S.A.,161.80,+0.34,+0.21%,55,581,84.442B,30.64
AIL.DE,L'Air Liquide S.A.,161.70,+0.58,+0.36%,705,"1,082",84.411B,30.68
AILA.F,L'Air Liquide S.A.,31.80,+0.40,+1.27%,5,6,83.964B,29.72
8GC.F,Glencore plc,5.55,+0.02,+0.29%,"36,593","63,140",69.096B,4.48
SEH.F,"Shin-Etsu Chemical Co., Ltd.",31.40,+0.20,+0.64%,135,37,67.267B,14.27
8GCA.F,Glencore plc,10.80,0.00,0.00%,366,221,67.229B,4.24
CVLC.F,Vale S.A.,14.02,+0.52,+3.82%,"13,107","3,107",61.285B,4.89
AP3.F,"Air Products and Chemicals, Inc.",265.00,-1.30,-0.49%,30,66,59.567B,29.41
SJ3.F,The Sherwin-Williams Company,226.10,+1.10,+0.49%,28,7,58.405B,29.59
CVLB.F,Vale S.A.,13.25,+0.10,+0.76%,"1,541",366,57.911B,4.55
FPMB.DE,Freeport-McMoRan Inc.,36.83,-0.17,-0.45%,307,"5,438",55.661B,23.16
FPMB.F,Freeport-McMoRan Inc.,36.42,-0.15,-0.41%,100,595,54.838B,22.48
PCU.F,Southern Copper Corporation,67.40,-0.40,-0.59%,70,139,53.005B,20.67
ECJ.F,Ecolab Inc.,166.00,-0.05,-0.03%,23,126,47.264B,43.92
FVJ.F,Fortescue Metals Group Limited,14.06,-0.04,-0.28%,"1,000","2,430",43.29B,7.77
BASA.F,BASF SE,11.40,+0.10,+0.88%,500,377,42.532B,N/A
