ABE0.F,Alphabet Inc.,14.50,+0.10,+0.69%,200,29,1.469T,26.36
ABEC.F,Alphabet Inc.,114.20,-0.70,-0.61%,"3,847","1,535",1.46T,27.45
ABEC.DE,Alphabet Inc.,114.44,+0.02,+0.02%,"15,516","16,594",1.469T,27.38
ABEA.DE,Alphabet Inc.,113.76,-0.12,-0.11%,"54,414","60,813",1.467T,27.15
ABEA.F,Alphabet Inc.,113.30,-0.54,-0.47%,"3,053","6,851",1.462T,27.24
FB20.F,"Meta Platforms, Inc.",11.40,+0.70,+6.54%,200,98,691.786B,1.49
FB2A.DE,"Meta Platforms, Inc.",261.00,+7.00,+2.76%,"21,087","20,537",684.501B,34.12
FB2A.F,"Meta Platforms, Inc.",258.05,-0.95,-0.37%,"1,289","1,750",663.699B,33.43
NNN1.F,Tencent Holdings Limited,42.20,+0.60,+1.44%,154,473,403.899B,16.36
NNND.F,Tencent Holdings Limited,41.80,+0.38,+0.92%,"5,032","6,129",400.071B,16.14
1TY.F,Prosus N.V.,69.41,+0.25,+0.36%,100,250,201.372B,18.51
1TY.DE,Prosus N.V.,69.08,+0.19,+0.28%,"2,288","1,827",201.2B,18.42
1YL.F,Prosus N.V.,13.60,0.00,0.00%,25,11,201.506B,18.13
NFC1.F,"Netflix, Inc.",12.10,0.00,0.00%,30,6,181.652B,1.34
NFC.DE,"Netflix, Inc.",400.30,-6.85,-1.68%,"4,496","4,190",179.519B,44.48
NFC.F,"Netflix, Inc.",396.10,-11.15,-2.74%,596,296,177.592B,44.21
CTM.F,China Mobile Limited,7.35,-0.11,-1.47%,"14,274","11,934",161.96B,9.55
CTP2.F,Comcast Corporation,37.67,-0.16,-0.42%,50,148,158.27B,30.38
CTP2.DE,Comcast Corporation,37.78,+0.18,+0.48%,12,436,157.308B,30.47
WDP.DE,The Walt Disney Company,83.78,-0.71,-0.84%,"10,091","9,445",153.091B,39.33
WDP.F,The Walt Disney Company,83.00,-1.64,-1.94%,"2,356","1,661",152.899B,40.49
WDP0.F,The Walt Disney Company,7.50,-0.05,-0.66%,250,30,152.516B,3.50
TM5.F,"T-Mobile US, Inc.",120.52,-0.64,-0.53%,30,244,144.611B,43.04
BACB.F,Verizon Communications Inc.,11.00,+0.20,+1.85%,20,68,141.805B,2.30
BAC.DE,Verizon Communications Inc.,33.28,+0.11,+0.33%,"6,383","10,089",141.76B,6.98
BAC.F,Verizon Communications Inc.,33.27,+0.04,+0.12%,"12,520","1,635",141.462B,6.95
SOBA.F,AT&T Inc.,14.71,+0.16,+1.10%,"6,641","4,714",105.247B,N/A
SOBA.DE,AT&T Inc.,14.65,-0.03,-0.20%,"17,775","23,915",104.769B,N/A
DTEA.F,Deutsche Telekom AG,19.50,+0.20,+1.04%,750,"2,019",97.289B,12.83
DTE.F,Deutsche Telekom AG,19.42,-0.02,-0.10%,"14,811","26,172",96.58B,12.61
DTE.DE,Deutsche Telekom AG,19.42,+0.06,+0.31%,23.525M,8.272M,96.59B,12.61
NTT.F,Nippon Telegraph and Telephone Corporation,26.67,+0.15,+0.57%,379,562,91.676B,11.91
NLV.F,Nippon Telegraph and Telephone Corporation,26.20,-0.40,-1.50%,200,0,90.632B,11.80
MV91.F,"América Móvil, S.A.B. de C.V.",1.0800,+0.0700,+6.93%,"3,000",246,68.237B,15.43
MV90.F,"América Móvil, S.A.B. de C.V.",19.90,-0.50,-2.45%,N/A,0,68.325B,14.32
ZCH.F,China Telecom Corporation Limited,0.4373,-0.0006,-0.14%,"5,000","9,896",66.459B,10.93
MV91.SG,"América Móvil, S.A.B. de C.V.",1.0000,+0.0150,+1.52%,N/A,0,66.618B,14.29
DIP.F,KDDI Corporation,29.30,-0.11,-0.37%,171,39,63.538B,14.95
SFTU.F,SoftBank Group Corp.,21.40,+0.40,+1.90%,250,65,63.317B,N/A
DIP0.F,KDDI Corporation,14.30,-0.30,-2.05%,10,0,62.738B,14.59
SFT.F,SoftBank Group Corp.,42.54,+0.61,+1.47%,"2,695","1,939",62.223B,N/A
AIY.F,"Activision Blizzard, Inc.",74.70,+0.45,+0.61%,70,838,59.416B,34.58
4Y01.F,"NetEase, Inc.",17.90,0.00,0.00%,30,12,58.807B,20.34
NEH.F,"NetEase, Inc.",88.80,-1.40,-1.55%,15,40,57.631B,20.27
B1C.F,"Baidu, Inc.",133.60,-1.40,-1.04%,723,572,47.56B,26.09
