AMZ.DE,"Amazon.com, Inc.",115.28,-0.16,-0.14%,"49,227","91,643",1.183T,295.59
AMZ.F,"Amazon.com, Inc.",115.02,-1.18,-1.02%,"4,114","9,759",1.18T,280.54
AMZ1.F,"Amazon.com, Inc.",10.40,-0.20,-1.89%,10,129,1.157T,260.00
TL0.F,"Tesla, Inc.",239.00,+5.05,+2.16%,"4,016","7,477",798.836B,77.10
TL0.DE,"Tesla, Inc.",239.30,+3.60,+1.53%,"90,475","138,555",791.851B,75.25
TL01.F,"Tesla, Inc.",16.00,-0.20,-1.23%,565,786,695.267B,69.57
MOH.F,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",865.00,+19.40,+2.29%,174,488,438.134B,31.63
MOH.DE,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",865.20,+20.80,+2.46%,"1,834","1,859",436.592B,31.52
MOHF.F,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",168.00,0.00,0.00%,414,107,432.719B,31.23
HDI.F,"The Home Depot, Inc.",276.00,+0.60,+0.22%,51,130,279.494B,18.42
HDI.DE,"The Home Depot, Inc.",276.00,-0.60,-0.22%,177,576,278.484B,18.23
HDI0.F,"The Home Depot, Inc.",13.60,-0.10,-0.73%,100,0,277.254B,0.90
2RR.F,Alibaba Group Holding Limited,10.79,+0.19,+1.75%,"1,957","2,621",222.654B,24.52
AHLA.F,Alibaba Group Holding Limited,85.05,+0.95,+1.13%,"2,350","2,587",222.618B,23.82
AHLA.DE,Alibaba Group Holding Limited,84.90,+1.20,+1.43%,"45,143","56,344",220.838B,23.78
HMI.F,Hermès International Société en commandite par actions,"1,972.40",+9.40,+0.48%,3,50,211.946B,63.40
TOM.F,Toyota Motor Corporation,15.13,-0.04,-0.24%,562,"2,799",207.387B,12.20
TOMA.F,Toyota Motor Corporation,152.00,-2.00,-1.30%,70,5,206.015B,11.80
HMIA.SG,Hermès International Société en commandite par actions,196.00,+2.00,+1.03%,0,0,205.241B,62.42
HMIA.F,Hermès International Société en commandite par actions,192.00,-2.00,-1.03%,4,1,200.713B,60.00
MDO.F,McDonald's Corporation,268.80,+1.00,+0.37%,200,335,197.395B,31.22
MDO.DE,McDonald's Corporation,269.20,+2.20,+0.82%,424,"1,555",197.244B,31.30
MDO0.F,McDonald's Corporation,17.90,-0.30,-1.65%,25,41,196.29B,2.08
NKE0.F,"NIKE, Inc.",15.00,+0.20,+1.35%,20,33,162.187B,4.59
