Symbol,Name,Price(Intraday),Change,%Change,Volume,Avg Vol(3 month),Market Cap,PE Ratio(TTM)
WMTD.F,Walmart Inc.,15.80,-0.10,-0.63%,1,3,394.036B,4.06
WMT.DE,Walmart Inc.,144.00,-0.42,-0.29%,683,"1,745",389.809B,37.02
WMT.F,Walmart Inc.,143.82,-1.54,-1.06%,34,276,388.301B,36.69
PRG.DE,The Procter & Gamble Company,137.10,+2.14,+1.59%,"1,860","4,022",324.901B,25.72
PRG.F,The Procter & Gamble Company,137.18,+1.68,+1.24%,445,"1,394",324.13B,25.45
NESM.F,Nestlé S.A.,112.00,+1.00,+0.90%,42,252,298.827B,31.91
CCC3.DE,The Coca-Cola Company,56.68,+0.98,+1.76%,"13,748","9,134",245.729B,26.74
CCC3.F,The Coca-Cola Company,56.55,+0.57,+1.02%,"2,324","3,126",245.035B,26.67
CCC.F,The Coca-Cola Company,15.30,0.00,0.00%,1,21,243.952B,7.22
PEP.DE,"PepsiCo, Inc.",171.34,+2.44,+1.44%,"1,101","1,088",236.053B,38.59
PEP.F,"PepsiCo, Inc.",170.24,+0.26,+0.15%,258,268,234.538B,38.26
LOR.DE,L'Oréal S.A.,416.50,+8.55,+2.10%,141,441,225.048B,40.16
LOR.F,L'Oréal S.A.,415.75,+6.00,+1.46%,272,399,223.972B,39.63
CTO0.F,Costco Wholesale Corporation,17.00,-0.10,-0.58%,20,0,216.548B,1.36
CTO.F,Costco Wholesale Corporation,480.30,-4.60,-0.95%,138,9,216.008B,38.36
LORA.F,L'Oréal S.A.,80.50,-4.00,-4.73%,24,7,215.412B,37.10
FOMC.F,"Fomento Económico Mexicano, S.A.B. de C.V.",10.20,0.00,0.00%,480,8,182.489B,26.84
FOMA.F,"Fomento Económico Mexicano, S.A.B. de C.V.",100.00,-2.00,-1.96%,15,1,178.911B,29.50
4I1.F,Philip Morris International Inc.,87.05,+0.65,+0.75%,115,380,137.403B,16.94
4I1.DE,Philip Morris International Inc.,87.50,+1.15,+1.33%,163,559,137.309B,16.92
UNVB.DE,Unilever PLC,47.63,+0.90,+1.93%,"16,096","18,904",119.863B,15.93
UNVB.F,Unilever PLC,47.44,+0.24,+0.51%,"5,960","4,870",119.741B,15.87
UNVA.F,Unilever PLC,46.80,+0.40,+0.86%,"1,100",90,118.177B,15.60
ITKA.F,Anheuser-Busch InBev SA/NV,54.50,+2.50,+4.81%,50,101,109.089B,15.98
1NBA.F,Anheuser-Busch InBev SA/NV,53.70,+1.03,+1.96%,202,794,104.816B,15.39
1NBA.DE,Anheuser-Busch InBev SA/NV,53.59,+0.54,+1.02%,"4,873","4,384",104.382B,15.44
KTF.F,"Mondelez International, Inc.",66.80,-0.20,-0.30%,"1,065",835,91.626B,25.02
GUI.F,Diageo plc,40.00,+0.38,+0.96%,100,468,89.912B,21.74
GUI.DE,Diageo plc,39.98,+0.24,+0.60%,"5,046","14,714",89.867B,21.73
GUIA.F,Diageo plc,158.00,+2.00,+1.28%,300,5,89.219B,21.73
PHM7.DE,"Altria Group, Inc.",40.36,-0.14,-0.35%,"7,075","7,346",72.468B,14.01
PHM7.F,"Altria Group, Inc.",40.11,-0.22,-0.55%,"1,023","2,754",72.293B,14.02
BMTA.F,British American Tobacco p.l.c.,30.40,0.00,0.00%,598,603,68.051B,8.91
BMT.F,British American Tobacco p.l.c.,30.16,-0.12,-0.41%,"11,542","4,613",67.437B,8.84
BMT.DE,British American Tobacco p.l.c.,30.11,-0.05,-0.15%,117.024k,"115,741",67.348B,8.83
ELAA.F,The Estée Lauder Companies Inc.,184.80,+3.50,+1.93%,174,79,66.408B,62.86
4GNB.F,"Wal-Mart de México, S.A.B. de C.V.",3.7000,-0.0600,-1.60%,25,286,64.607B,24.67
CPA.F,Colgate-Palmolive Company,71.00,+1.45,+2.08%,945,282,59.158B,40.11
DYH.F,Target Corporation,126.85,+0.85,+0.67%,63,29,58.974B,22.73
CPA.DE,Colgate-Palmolive Company,70.35,+0.80,+1.15%,75,440,58.533B,39.75
DYH.DE,Target Corporation,124.60,+0.10,+0.08%,362,131,58.022B,22.13
MOB.F,Monster Beverage Corporation,53.53,-0.14,-0.26%,65,201,56.441B,46.55
HNK2.F,Heineken N.V.,47.00,-0.80,-1.67%,45,13,54.533B,20.09
HNK1.F,Heineken N.V.,93.72,-1.10,-1.16%,113,180,54.196B,20.07
PER.DE,Pernod Ricard SA,204.10,+1.70,+0.84%,10,96,52.264B,22.14
PER.F,Pernod Ricard SA,203.20,+0.50,+0.25%,28,66,51.851B,22.11
3RB.DE,Reckitt Benckiser Group plc,71.86,+1.34,+1.90%,"9,964","8,579",51.558B,18.76
3RB.F,Reckitt Benckiser Group plc,71.84,+1.36,+1.93%,728,901,51.544B,18.33
PER0.F,Pernod Ricard SA,40.20,-0.20,-0.50%,2,1,51.214B,21.73
3RBB.F,Reckitt Benckiser Group plc,13.90,+0.10,+0.72%,33,12,50.293B,18.29
HSY.F,The Hershey Company,237.40,-2.60,-1.08%,127,12,49.204B,31.03
HSY.DE,The Hershey Company,237.80,0.00,0.00%,20,24,48.918B,30.68
J4D.SG,Kenvue Inc.,23.20,+0.20,+0.87%,0,"1,216",45.367B,37.42
J4D.F,Kenvue Inc.,23.20,0.00,0.00%,50,56,45.367B,38.67
AMNA.F,Ambev S.A.,2.8000,-0.0200,-0.71%,"2,000",234,44.976B,15.56
GRM.F,"General Mills, Inc.",73.60,-0.31,-0.42%,100,301,43.411B,17.12
GRM.DE,"General Mills, Inc.",73.40,-0.51,-0.69%,87,306,43.253B,17.15
KMY.F,Kimberly-Clark Corporation,124.40,-0.30,-0.24%,50,18,42.203B,22.95
KMY.DE,Kimberly-Clark Corporation,124.00,-1.80,-1.43%,2,154,42.034B,22.84
KHNZ.DE,The Kraft Heinz Company,33.77,+0.08,+0.25%,"4,374","2,366",41.663B,18.66
CB1A.F,"Constellation Brands, Inc.",227.30,-0.50,-0.22%,30,3,41.649B,N/A
KHNZ.F,The Kraft Heinz Company,33.75,-0.01,-0.04%,"1,534","1,902",41.577B,18.65
DP5.F,Keurig Dr Pepper Inc.,28.58,-0.30,-1.06%,600,54,40.558B,32.84
JATA.F,Japan Tobacco Inc.,10.20,-0.60,-5.56%,11,18,37.573B,11.86
ADM.F,Archer-Daniels-Midland Company,68.40,+0.40,+0.59%,40,140,37.253B,9.24
ADM.DE,Archer-Daniels-Midland Company,68.20,-0.20,-0.29%,58,232,37.144B,9.20
JAT.F,Japan Tobacco Inc.,20.50,-0.81,-3.80%,66,359,36.384B,11.58
BSN.F,Danone S.A.,55.59,+1.15,+2.11%,"1,323",970,35.824B,37.82
BSN.DE,Danone S.A.,55.48,+0.83,+1.52%,"2,858","5,105",35.72B,37.74
S6M.F,"Seven & i Holdings Co., Ltd.",39.80,-0.20,-0.50%,5,4,35.405B,18.60
S6MA.F,"Seven & i Holdings Co., Ltd.",19.50,-0.70,-3.47%,28,0,35.38B,18.22
4BB1.F,Budweiser Brewing Company APAC Limited,10.20,+0.20,+2.00%,700,12,35.265B,40.80
4BB.F,Budweiser Brewing Company APAC Limited,2.5200,-0.1600,-5.97%,651,92,35.102B,42.00
SYY.F,Sysco Corporation,66.80,-0.20,-0.30%,4,27,34.051B,23.69
SYY.DE,Sysco Corporation,66.80,0.00,0.00%,3,33,33.846B,23.60
7DG.F,Dollar General Corporation,149.20,-0.20,-0.13%,55,11,32.726B,14.74
HEN1.SG,Henkel AG & Co. KGaA,18.30,0.00,0.00%,0,0,30.897B,25.42
KOG.F,The Kroger Co.,41.74,-0.14,-0.33%,50,61,30.483B,14.59
KOG.DE,The Kroger Co.,42.08,+0.68,+1.64%,20,106,30.295B,14.66
WWR.F,Woolworths Group Limited,24.10,+0.11,+0.46%,1,15,29.688B,28.02
HEN.DE,Henkel AG & Co. KGaA,65.88,+0.44,+0.67%,"24,484","105,881",29.215B,22.80
HEN3.DE,Henkel AG & Co. KGaA,74.34,+0.40,+0.54%,"276,164","503,886",29.191B,25.72
HEN3.F,Henkel AG & Co. KGaA,74.36,+0.30,+0.41%,"1,815",584,29.151B,25.29
HENE.SG,Henkel AG & Co. KGaA,16.20,0.00,0.00%,0,0,29.136B,22.82
AHOG.DE,Koninklijke Ahold Delhaize N.V.,29.98,-0.03,-0.12%,63,"1,128",29.16B,11.80
HEN.F,Henkel AG & Co. KGaA,65.88,-0.06,-0.09%,50,53,29.118B,22.64
BF5A.F,Brown-Forman Corporation,60.50,-0.50,-0.82%,50,17,28.958B,39.54
AHOD.F,Koninklijke Ahold Delhaize N.V.,29.00,-1.00,-3.33%,10,5,28.729B,11.74
AHOG.F,Koninklijke Ahold Delhaize N.V.,29.47,-0.02,-0.07%,360,300,28.693B,11.65
BF5B.F,Brown-Forman Corporation,59.08,-0.22,-0.37%,5,19,28.559B,38.87
DT3.F,"Dollar Tree, Inc.",126.10,-0.50,-0.39%,18,9,28.192B,21.59
BEI.DE,Beiersdorf Aktiengesellschaft,120.55,+0.75,+0.63%,"195,121","265,307",27.903B,36.98
BEI.F,Beiersdorf Aktiengesellschaft,120.00,+0.05,+0.04%,170,187,27.728B,36.36
CK0.F,Coca-Cola Europacific Partners PLC,59.90,-0.30,-0.50%,10,136,27.668B,18.04
BEIA.F,Beiersdorf Aktiengesellschaft,23.60,0.00,0.00%,4,2,27.595B,35.76
ZX6.F,DSM-Firmenich AG,98.08,-0.14,-0.14%,210,124,26.781B,17.06
L8G.F,Loblaw Companies Limited,80.00,-0.50,-0.62%,120,0,25.988B,20.05
4H50.SG,Heineken Holding N.V.,39.40,+0.20,+0.51%,0,0,23.006B,16.84
4H50.MU,Heineken Holding N.V.,40.00,0.00,0.00%,117,2,22.988B,17.17
4H5.F,Heineken Holding N.V.,79.55,+0.60,+0.76%,25,43,22.858B,17.14
MCX0.F,"McCormick & Company, Incorporated",82.50,0.00,0.00%,10,14,22.754B,36.34
MCX.F,"McCormick & Company, Incorporated",83.62,-0.12,-0.14%,99,126,22.643B,36.68
TCO0.F,Tesco PLC,3.0600,-0.0200,-0.65%,"3,189",180,22.149B,25.50
TCO2.F,Tesco PLC,8.90,-0.10,-1.11%,5,0,22.025B,25.43
4GM.F,"Grupo Bimbo, S.A.B. de C.V.",4.8800,-0.0400,-0.81%,440,234,21.801B,13.19
CBGB.F,Carlsberg A/S,145.00,+2.65,+1.86%,15,31,21.772B,21.71
UN41.F,Unicharm Corporation,6.80,-0.05,-0.73%,3,0,21.613B,45.33
