XONA.DE,Exxon Mobil Corporation,96.47,-0.96,-0.99%,"2,530","4,958",390.594B,7.18
XONA.F,Exxon Mobil Corporation,96.00,-1.45,-1.49%,"2,005","1,708",390.095B,7.13
CHV.DE,Chevron Corporation,145.00,-1.32,-0.90%,673,"1,203",274.921B,8.51
CHV.F,Chevron Corporation,144.36,-0.70,-0.48%,361,435,273.51B,8.31
RLI.F,Rolinco N.V.,56.80,-0.20,-0.35%,150,117,192.154B,26.82
R6C0.DE,Shell plc,27.76,+0.12,+0.45%,"42,875","74,945",189.476B,4.92
R6C0.F,Shell plc,27.75,-0.02,-0.09%,"8,338","13,801",189.374B,4.83
L3H.F,Shell plc,55.00,0.00,0.00%,50,26,187.668B,4.86
PC6.F,PetroChina Company Limited,0.6898,+0.0258,+3.89%,"1,449","16,901",183.234B,6.27
TOTB.DE,TotalEnergies SE,54.12,+0.35,+0.65%,"13,260","31,563",131.784B,7.15
TOTB.F,TotalEnergies SE,53.89,+0.31,+0.58%,"1,737","2,438",131.69B,7.10
TOTA.F,TotalEnergies SE,53.00,-0.50,-0.93%,150,47,129.708B,6.90
YCP.DE,ConocoPhillips,95.62,-0.44,-0.46%,100,204,116.015B,8.35
YCP.F,ConocoPhillips,95.43,+1.00,+1.06%,40,170,115.476B,8.05
SLL.SG,Schoeller-Bleckmann Oilfield Equipment AG,52.90,-0.30,-0.56%,0,33,104.745B,N/A
BPE.F,BP p.l.c.,5.36,0.00,0.00%,"1,108","4,008",102.568B,4.22
BPE5.F,BP p.l.c.,5.41,+0.04,+0.71%,"13,071","38,420",94.669B,4.26
BPE5.DE,BP p.l.c.,5.39,0.00,0.00%,"341,361","659,084",94.354B,4.28
BSU.F,BP p.l.c.,32.20,0.00,0.00%,4,109,93.893B,4.21
BSU.SG,BP p.l.c.,32.20,0.00,0.00%,0,32,93.893B,4.26
CHU.F,China Petroleum & Chemical Corporation,0.5310,-0.0390,-6.84%,"130,000","13,433",89.089B,7.59
DNQA.F,Equinor ASA,27.40,-0.60,-2.14%,2,142,85.248B,3.18
DNQ.F,Equinor ASA,27.50,-0.58,-2.08%,"6,224","7,750",85.559B,3.28
PJXA.F,Petróleo Brasileiro S.A. - Petrobras,12.50,-0.45,-3.47%,"1,500","1,181",81.526B,2.40
PJXC.F,Petróleo Brasileiro S.A. - Petrobras,6.47,-0.03,-0.46%,"6,095","17,217",78.079B,2.52
PJXB.F,Petróleo Brasileiro S.A. - Petrobras,5.62,-0.09,-1.49%,"3,099","8,827",76.525B,2.17
PJX.F,Petróleo Brasileiro S.A. - Petrobras,11.20,-0.30,-2.61%,775,"1,503",76.47B,2.22
IKFC.F,China Shenhua Energy Company Limited,11.90,+0.20,+1.71%,150,0,75.457B,6.84
IKF.F,China Shenhua Energy Company Limited,3.0920,+0.0250,+0.82%,"2,000",872,74.794B,7.03
EN3.F,Enbridge Inc.,33.93,-0.31,-0.92%,415,312,68.697B,41.89
NC2B.F,CNOOC Limited,1.3400,0.0000,0.00%,700,"3,387",65.6B,3.44
SCL.F,Schlumberger Limited,43.80,+0.06,+0.13%,100,668,63.048B,17.95
EO5.F,"EOG Resources, Inc.",103.20,+1.05,+1.03%,2,6,60.909B,7.13
EO5.DE,"EOG Resources, Inc.",103.15,-0.20,-0.19%,10,32,60.345B,7.18
CRC.F,Canadian Natural Resources Limited,50.68,+0.06,+0.12%,11,54,55.687B,8.75
OPC.F,Occidental Petroleum Corporation,53.20,-0.70,-1.30%,680,725,47.612B,6.67
OPC.DE,Occidental Petroleum Corporation,53.25,-0.60,-1.11%,423,"2,041",47.485B,6.67
PNK.F,Pioneer Natural Resources Company,188.40,+3.05,+1.65%,60,28,44.444B,7.27
MPN.SG,Marathon Petroleum Corporation,103.88,+0.42,+0.41%,0,27,44.075B,3.44
MPN.DE,Marathon Petroleum Corporation,103.40,-0.72,-0.69%,30,144,43.887B,3.47
MPN.F,Marathon Petroleum Corporation,103.32,+0.92,+0.90%,200,41,43.837B,3.41
ENI1.F,Eni S.p.A.,26.00,+0.20,+0.78%,9,37,43.579B,3.56
ENI.F,Eni S.p.A.,13.00,+0.11,+0.82%,"3,150","2,740",43.599B,3.63
ENI.DE,Eni S.p.A.,12.98,-0.07,-0.51%,"23,707","21,343",43.237B,3.54
WOP.F,Woodside Energy Group Ltd,22.40,+0.80,+3.70%,190,146,43.205B,5.54
WOP0.F,Woodside Energy Group Ltd,22.70,+0.70,+3.18%,"1,812","1,747",43.102B,5.75
R66.F,Phillips 66,88.76,+0.24,+0.27%,140,9,40.943B,3.71
R66.DE,Phillips 66,88.70,+0.16,+0.18%,1,58,40.701B,3.70
AHC.DE,Hess Corporation,123.95,-1.50,-1.20%,31,12,38.069B,20.35
AHC.F,Hess Corporation,123.60,+0.15,+0.12%,2,160,37.952B,20.33
TRS.F,TC Energy Corporation,37.51,-0.00,-0.01%,300,103,37.688B,35.05
V1L.F,Valero Energy Corporation,103.50,+0.90,+0.88%,10,50,37.417B,3.18
SM3.F,Suncor Energy Inc.,27.53,+0.16,+0.58%,100,349,36.055B,6.52
2KD.F,"Kinder Morgan, Inc.",15.47,-0.02,-0.13%,900,813,35.116B,14.88
WMB.DE,"The Williams Companies, Inc.",28.00,-0.08,-0.28%,270,289,34.109B,14.36
WMB.F,"The Williams Companies, Inc.",27.99,0.00,0.00%,"1,325",123,34.097B,14.43
CHQ1.F,"Cheniere Energy, Inc.",133.40,-1.00,-0.74%,20,105,32.857B,4.53
NEF.F,Neste Oyj,39.86,-1.03,-2.52%,15,263,30.62B,20.65
