Symbol,Name,Price(Intraday),Change,%Change,Volume,Avg Vol(3 month),Market Cap,PE Ratio(TTM)
BRYN.F,Berkshire Hathaway Inc.,311.00,+0.60,+0.19%,453,791,687.058B,99.04
BRHF.F,Berkshire Hathaway Inc.,17.80,0.00,0.00%,1,30,676.628B,5.60
BRYN.DE,Berkshire Hathaway Inc.,311.20,+0.60,+0.19%,"3,975","7,046",676.515B,99.42
BRH.F,Berkshire Hathaway Inc.,"465,500.00",+500.00,+0.11%,1,0,673.914B,99.04
3V64.DE,Visa Inc.,209.20,+4.25,+2.07%,"2,105","1,616",436.996B,30.27
CMC.DE,JPMorgan Chase & Co.,131.40,+1.40,+1.08%,718,"2,059",384.123B,10.50
3V64.F,Visa Inc.,207.30,+0.45,+0.22%,274,414,433.862B,29.78
CMC.F,JPMorgan Chase & Co.,130.30,+0.10,+0.08%,212,548,380.774B,10.33
3V6.F,Visa Inc.,14.90,0.00,0.00%,7,0,430.866B,2.16
CMCI.F,JPMorgan Chase & Co.,13.20,0.00,0.00%,2,0,377.525B,1.03
M4I.F,Mastercard Incorporated,348.60,+4.00,+1.16%,13,83,331.26B,37.40
M4I.DE,Mastercard Incorporated,347.80,+5.20,+1.52%,303,337,329.17B,37.16
M4I0.F,Mastercard Incorporated,16.60,+0.20,+1.22%,6,0,327.199B,1.77
YIQG.F,Barclays Bank PLC,94.56,-0.18,-0.19%,N/A,0,199.434B,N/A
NCB.F,Bank of America Corporation,26.94,+0.16,+0.60%,"4,032","4,477",215.255B,8.83
NCB.DE,Bank of America Corporation,26.94,+0.28,+1.05%,"1,122","16,637",214.689B,8.78
NCB0.F,Bank of America Corporation,10.60,0.00,0.00%,26,3,211.113B,3.33
ICKB.F,Industrial and Commercial Bank of China Limited,9.40,-0.10,-1.05%,80,3,209.405B,3.66
ICK.F,Industrial and Commercial Bank of China Limited,0.4801,-0.0099,-2.02%,"9,000","8,810",199.979B,3.69
EK7.F,Agricultural Bank of China Limited,0.3320,0.0000,0.00%,30,78,161.574B,3.69
EK7A.F,Agricultural Bank of China Limited,8.60,-0.05,-0.58%,100,1,160.001B,3.79
C6TB.F,China Construction Bank Corporation,11.40,0.00,0.00%,25,0,151.343B,3.42
C6T.F,China Construction Bank Corporation,0.5900,-0.0100,-1.67%,771,"3,726",147.81B,3.47
NWT.DE,Wells Fargo & Company,38.83,+0.19,+0.48%,214,"1,237",145.699B,11.80
NWT.F,Wells Fargo & Company,38.64,-0.26,-0.68%,190,340,144.986B,12.23
HBC2.F,HSBC Holdings plc,35.20,0.00,0.00%,872,20,142.77B,6.73
HBC1.DE,HSBC Holdings plc,7.17,+0.06,+0.86%,"23,960","25,580",142.618B,6.76
HBC1.F,HSBC Holdings plc,7.16,+0.04,+0.52%,200,"2,363",142.36B,6.75
W8VS.F,Bank of China Limited,8.85,+0.05,+0.57%,800,14,140.864B,3.73
DWD.F,Morgan Stanley,81.57,+1.13,+1.40%,33,114,136.231B,15.02
DWD.DE,Morgan Stanley,81.30,+0.25,+0.31%,656,570,135.78B,15.03
W8V.F,Bank of China Limited,0.3641,+0.0030,+0.83%,"1,136","17,185",135.947B,3.64
TRVC.DE,Citigroup Inc.,44.28,+0.36,+0.82%,28,"6,423",87.129B,6.68
AEC1.F,American Express Company,159.10,+1.25,+0.79%,60,141,121.793B,18.54
RYC.F,Royal Bank of Canada,86.42,+0.14,+0.16%,320,26,121.486B,12.22
AEC1.DE,American Express Company,159.40,+1.30,+0.82%,22,635,121.255B,18.43
MHL.F,S&P Global Inc.,367.50,+4.10,+1.13%,62,26,118.725B,47.91
MHL.DE,S&P Global Inc.,366.60,+3.10,+0.85%,34,45,118.369B,47.55
GOS.DE,"The Goldman Sachs Group, Inc.",311.30,-1.10,-0.35%,313,343,103.491B,11.97
GOS.F,"The Goldman Sachs Group, Inc.",309.60,-2.00,-0.64%,10,197,102.926B,11.78
CHL.F,China Life Insurance Company Limited,1.5675,-0.0035,-0.22%,450,"1,419",113.709B,7.84
PZX.F,"Ping An Insurance (Group) Company of China, Ltd.",6.13,+0.03,+0.49%,200,"3,436",113.062B,9.01
7A2.F,AIA Group Limited,9.41,-0.01,-0.14%,"1,600",144,111.377B,470.40
M4B.F,"China Merchants Bank Co., Ltd.",4.4540,+0.1090,+2.51%,100,50,111.068B,6.27
CWW.F,Commonwealth Bank of Australia,62.33,+0.68,+1.10%,150,88,105.422B,17.12
7A2S.F,AIA Group Limited,37.40,-0.80,-2.09%,3,0,110.111B,415.56
TRVC.F,Citigroup Inc.,44.20,-0.72,-1.60%,468,360,86.933B,6.62
HDFA.F,HDFC Bank Limited,58.50,-0.50,-0.85%,210,24,108.991B,24.07
PZXB.F,"Ping An Insurance (Group) Company of China, Ltd.",11.70,-0.10,-0.85%,250,74,108.789B,8.30
BBN1.F,Blackstone Inc.,85.80,+3.60,+4.38%,12,143,106.18B,117.53
CWW0.F,Commonwealth Bank of Australia,61.50,+0.50,+0.82%,9,0,105.631B,17.42
GOS0.F,"The Goldman Sachs Group, Inc.",11.80,-0.10,-0.84%,"2,000",4,102.544B,0.44
TDB.F,The Toronto-Dominion Bank,55.50,+0.50,+0.91%,140,39,102.275B,9.89
BLQA.F,"BlackRock, Inc.",650.20,+2.60,+0.40%,44,69,97.41B,21.75
BLQA.DE,"BlackRock, Inc.",650.40,+6.20,+0.96%,114,265,97.406B,21.28
SWG.DE,The Charles Schwab Corporation,51.00,+0.85,+1.69%,77,540,91.777B,14.96
SWG.F,The Charles Schwab Corporation,50.85,+0.20,+0.39%,50,657,91.328B,15.00
ALVE.F,Allianz SE,21.40,+0.80,+3.88%,19,126,85.94B,10.39
BVXB.MU,Itau Unibanco Holding SA,5.30,-0.05,-0.93%,500,8,38.561B,N/A
ALV.DE,Allianz SE,210.20,+0.40,+0.19%,747.333k,"987,196",84.8B,10.47
ALV.F,Allianz SE,210.25,+0.35,+0.17%,"2,394","3,671",84.698B,10.46
MSN.F,"Marsh & McLennan Companies, Inc.",163.60,-1.35,-0.82%,100,6,81.395B,27.45
MFZA.SG,"Mitsubishi UFJ Financial Group, Inc.",6.25,-0.10,-1.57%,0,54,76.707B,10.42
MFZA.F,"Mitsubishi UFJ Financial Group, Inc.",6.35,-0.05,-0.78%,800,14,76.735B,10.58
MFZ.F,"Mitsubishi UFJ Financial Group, Inc.",6.28,-0.08,-1.27%,200,21,76.834B,10.46
ICBA.F,ICICI Bank Limited,20.60,0.00,0.00%,800,66,73.045B,19.25
BNP.F,BNP Paribas SA,56.38,+0.17,+0.30%,752,"2,215",67.966B,7.78
BNP.DE,BNP Paribas SA,56.50,+0.32,+0.57%,"3,085","9,150",68.111B,7.71
BNPH.F,BNP Paribas SA,27.80,-0.40,-1.42%,10,9,67.84B,7.88
PGV.F,The Progressive Corporation,117.00,+0.20,+0.17%,25,21,68.48B,90.00
BZG.F,PT Bank Central Asia Tbk,13.10,-0.30,-2.24%,300,0,67.124B,23.39
2PP.DE,"PayPal Holdings, Inc.",60.44,+1.38,+2.34%,"49,613","44,243",67.961B,27.60
2PP.F,"PayPal Holdings, Inc.",60.43,+0.29,+0.48%,"4,345","5,905",67.422B,27.59
2PP0.F,"PayPal Holdings, Inc.",3.4200,+0.1000,+3.01%,300,85,66.871B,1.56
BZG2.F,PT Bank Central Asia Tbk,0.5350,-0.0400,-6.96%,250,412,67.175B,26.75
ZFI1.F,Zurich Insurance Group AG,43.60,+0.60,+1.40%,120,21,65.302B,15.41
3YB0.F,"Postal Savings Bank of China Co., Ltd.",11.30,-0.10,-0.88%,300,0,64.805B,5.02
3YB.F,"Postal Savings Bank of China Co., Ltd.",0.5750,-0.0050,-0.86%,"2,660",72,63.715B,5.23
4VK.F,Aon plc,302.00,+4.00,+1.34%,7,1,63.467B,26.61
MX4A.DE,CME Group Inc.,167.62,+0.52,+0.31%,10,29,60.613B,23.44
AXA.DE,AXA SA,26.68,+0.24,+0.91%,"3,887","23,566",60.439B,9.39
AXA.F,AXA SA,26.67,+0.08,+0.28%,"4,078","5,279",60.405B,9.36
AXAA.F,AXA SA,26.60,0.00,0.00%,95,30,60.258B,9.33
MX4A.F,CME Group Inc.,165.58,-0.48,-0.29%,40,15,59.997B,22.23
DUT.F,Moody's Corporation,318.00,+5.00,+1.60%,43,12,58.501B,45.69
IC2.DE,"Intercontinental Exchange, Inc.",102.20,0.00,0.00%,2,33,57.884B,42.23
IC2.F,"Intercontinental Exchange, Inc.",102.00,-0.80,-0.78%,45,36,57.543B,41.98
LS4D.F,London Stock Exchange Group plc,25.80,0.00,0.00%,45,0,56.941B,61.43
IVS.F,Investor AB (publ),18.53,+0.15,+0.82%,458,89,56.899B,24.07
IVSD.F,Investor AB (publ),18.53,+0.09,+0.50%,150,441,56.636B,24.39
BKN.F,The Bank of Nova Scotia,46.31,+0.38,+0.82%,85,943,55.545B,9.83
SID.F,State Bank of India,62.50,-1.50,-2.34%,18,45,56.159B,8.88
