Symbol,Name,Price(Intraday),Change,%Change,Volume,Avg Vol(3 month),Market Cap,PE Ratio(TTM)
BTL.SG,Baxter International Inc,41.30,+1.40,+3.51%,0,42,410.37B,N/A
UNH.DE,UnitedHealth Group Incorporated,423.50,-8.00,-1.85%,454,363,399.674B,22.48
LLY.DE,Eli Lilly and Company,413.60,-1.40,-0.34%,559,977,397.201B,71.07
UNH.F,UnitedHealth Group Incorporated,421.50,-5.00,-1.17%,154,141,394.503B,22.29
JNJ.DE,Johnson & Johnson,150.60,+1.10,+0.74%,"2,701","4,083",393.599B,33.84
JNJ.F,Johnson & Johnson,150.60,+1.70,+1.14%,836,965,392.808B,33.77
LLY.F,Eli Lilly and Company,410.60,-7.00,-1.68%,77,392,392.788B,70.67
NOVC.DE,Novo Nordisk A/S,148.08,-0.08,-0.05%,"15,441","23,775",332.155B,40.46
NOVA.F,Novo Nordisk A/S,147.50,-0.50,-0.34%,319,338,331.211B,40.30
NOVC.F,Novo Nordisk A/S,147.82,-0.76,-0.51%,"1,730","2,531",330.633B,40.39
6MK.DE,"Merck & Co., Inc.",100.60,+0.60,+0.60%,558,"1,213",257.565B,21.22
6MK.F,"Merck & Co., Inc.",100.20,+0.20,+0.20%,310,439,256.541B,21.41
RHO6.F,Roche Holding AG,35.26,+0.66,+1.89%,11,55,232.297B,18.17
4AB.F,AbbVie Inc.,126.50,+1.80,+1.44%,191,277,224.315B,32.52
4AB.DE,AbbVie Inc.,126.40,+2.00,+1.61%,552,705,224.679B,32.75
4AB0.F,AbbVie Inc.,13.60,-0.10,-0.73%,139,0,221.151B,3.65
ZEG.F,AstraZeneca PLC,138.00,+0.55,+0.40%,185,312,213.882B,49.29
ZEG.DE,AstraZeneca PLC,138.15,+1.70,+1.25%,"1,536","3,887",214.115B,49.16
ZEGA.F,AstraZeneca PLC,67.50,+1.00,+1.50%,142,22,209.232B,48.21
WX8.F,"WuXi AppTec Co., Ltd.",8.50,+0.20,+2.41%,133,3,211.594B,2.79
PFE.F,Pfizer Inc.,36.80,+0.55,+1.52%,"7,180","4,540",207.747B,7.98
PFE.DE,Pfizer Inc.,36.70,+0.40,+1.10%,"28,822","25,534",207.183B,7.93
PFEB.F,Pfizer Inc.,12.80,+0.10,+0.79%,185,67,201.238B,2.68
NOTA.F,Novartis AG,93.80,+3.60,+3.99%,16,62,201.856B,31.37
TN8.F,Thermo Fisher Scientific Inc.,491.90,+5.50,+1.13%,2,103,189.736B,34.52
