LFL.F,LATAM Airlines Group S.A.,0.3000,-0.0300,-9.09%,"2,600","5,541",181.331B,5.00
UPAB.F,"United Parcel Service, Inc.",164.42,+1.22,+0.75%,512,26,143.335B,14.24
SIEB.F,Siemens Aktiengesellschaft,85.50,+4.50,+5.56%,10,2,138.688B,22.74
SIE.F,Siemens Aktiengesellschaft,164.00,-1.74,-1.05%,"7,595","3,135",130.009B,21.52
5UR.F,Raytheon Technologies Corporation,89.02,0.00,0.00%,7,179,130.622B,26.73
SIE.DE,Siemens Aktiengesellschaft,163.78,-2.00,-1.21%,7.998M,1.206M,129.803B,21.58
ALDB.F,Honeywell International Inc.,17.30,+0.70,+4.22%,20,0,128.94B,2.38
ALD.DE,Honeywell International Inc.,186.22,+1.20,+0.65%,391,233,125.161B,26.27
ALD.F,Honeywell International Inc.,186.54,+1.38,+0.75%,826,824,124.699B,26.13
BCO.F,The Boeing Company,203.40,+4.40,+2.21%,58,298,122.364B,N/A
BCO.DE,The Boeing Company,201.30,-0.05,-0.02%,"4,545","2,643",121.101B,N/A
BCO0.F,The Boeing Company,26.60,+0.20,+0.76%,N/A,0,119.154B,N/A
CAT1.F,Caterpillar Inc.,228.00,+5.00,+2.24%,54,175,117.727B,20.47
CAT1.DE,Caterpillar Inc.,226.00,0.00,0.00%,434,464,116.694B,20.11
UNP.F,Union Pacific Corporation,187.35,+0.35,+0.19%,431,970,115.002B,17.40
UNP.DE,Union Pacific Corporation,187.15,-0.50,-0.27%,640,212,114.267B,17.44
DCO.DE,Deere & Company,373.70,+4.70,+1.27%,70,355,109.566B,13.38
DCO.F,Deere & Company,371.40,+3.10,+0.84%,272,106,109.15B,13.48
GCP.F,General Electric Company,98.20,+3.00,+3.15%,859,629,107.652B,14.88
LOM.DE,Lockheed Martin Corporation,419.80,+2.40,+0.57%,202,358,107.278B,20.91
LOM.F,Lockheed Martin Corporation,419.30,+4.80,+1.16%,34,89,106.919B,20.80
AIRA.F,Airbus SE,33.00,+1.20,+3.77%,150,131,106.056B,30.00
AIR.DE,Airbus SE,131.32,+1.46,+1.12%,"835,487","277,646",103.62B,29.64
AIR.F,Airbus SE,130.92,+1.40,+1.08%,"2,365",938,103.304B,29.49
SND.F,Schneider Electric S.E.,163.38,-0.70,-0.43%,194,495,92.562B,26.92
SND.DE,Schneider Electric S.E.,163.10,-1.50,-0.91%,935,"1,314",92.111B,26.78
ADP.F,"Automatic Data Processing, Inc.",201.20,+2.24,+1.13%,101,86,83.34B,27.75
3EC.F,Eaton Corporation plc,178.30,+0.75,+0.42%,25,16,72.689B,30.32
CY2.F,Canadian National Railway Company,108.60,+0.80,+0.74%,4,115,71.969B,19.64
ABJA.F,ABB Ltd,35.80,0.00,0.00%,69,79,67.601B,24.69
ILT.F,Illinois Tool Works Inc.,225.40,-0.70,-0.31%,159,30,68.647B,23.85
ILT.DE,Illinois Tool Works Inc.,225.70,-4.30,-1.87%,7,37,68.591B,23.73
ACO.F,Atlas Copco AB,13.20,-0.10,-0.75%,100,29,64.263B,30.00
ACO4.F,Atlas Copco AB,13.73,-0.22,-1.61%,20,273,63.147B,31.19
CXR.SG,CSX Corporation,30.38,+0.10,+0.33%,51,36,66.635B,20.49
ACO5.F,Atlas Copco AB,11.69,-0.08,-0.68%,300,361,63.746B,27.20
MBI.F,Mitsubishi Corporation,45.00,-0.35,-0.77%,579,356,64.346B,7.73
NTH.DE,Northrop Grumman Corporation,416.10,+4.30,+1.04%,84,55,63.189B,14.56
CXR.F,CSX Corporation,30.49,+0.05,+0.16%,75,14,63.142B,15.96
NTH.F,Northrop Grumman Corporation,414.80,-0.20,-0.05%,57,38,62.991B,14.46
SQU.F,Vinci SA,109.72,+1.80,+1.67%,"1,290",814,63.046B,14.83
UWS.F,"Waste Management, Inc.",151.60,+2.00,+1.34%,830,146,61.733B,29.90
SEJ1.F,Safran SA,140.72,+2.64,+1.91%,203,56,60.181B,N/A
RDED.F,RELX PLC,31.00,+0.60,+1.97%,10,0,59.085B,31.63
RDEB.F,RELX PLC,31.09,+0.51,+1.67%,306,62,58.97B,31.40
DKIA.F,"Daikin Industries,Ltd.",18.90,0.00,0.00%,400,109,58.08B,34.36
DKI.F,"Daikin Industries,Ltd.",193.10,-1.45,-0.75%,35,177,56.517B,34.67
TOCB.F,Thomson Reuters Corporation,117.00,0.00,0.00%,10,3,56.373B,54.42
TOCB.SG,Thomson Reuters Corporation,118.00,+2.00,+1.72%,0,4,56.365B,53.15
TOCB.DU,Thomson Reuters Corporation,117.00,+1.00,+0.86%,50,0,55.887B,53.42
MTS1.F,"Mitsui & Co., Ltd.",35.88,+0.14,+0.39%,560,403,55.285B,7.49
MTA.SG,Wartsila Corp,10.86,+0.05,+0.51%,0,78,10.871B,N/A
FDX.F,FedEx Corporation,216.00,+4.00,+1.89%,24,27,54.646B,19.71
DPW.DE,Deutsche Post AG,44.18,+0.01,+0.02%,6.328M,2.227M,52.96B,9.93
DPWA.F,Deutsche Post AG,43.70,+0.30,+0.69%,306,117,53.314B,9.67
DPW.F,Deutsche Post AG,44.12,+0.03,+0.07%,"4,430","4,464",52.984B,9.87
FDX.DE,FedEx Corporation,215.00,+1.00,+0.47%,245,96,54.137B,19.65
GDX.DE,General Dynamics Corporation,197.05,+1.60,+0.82%,219,185,54.08B,17.44
GDX.F,General Dynamics Corporation,196.80,+2.35,+1.21%,15,45,53.989B,17.39
IOC.F,ITOCHU Corporation,36.87,+0.21,+0.57%,245,450,53.754B,9.78
HIA1.F,"Hitachi, Ltd.",56.88,-1.10,-1.90%,45,77,53.339B,19.02
MMM.F,3M Company,95.53,+0.75,+0.79%,565,803,53.047B,10.75
MMM.DE,3M Company,94.82,+0.48,+0.51%,"4,314","6,766",52.31B,10.50
1RHA.F,"Recruit Holdings Co., Ltd.",6.20,+0.05,+0.81%,500,8,50.724B,24.80
1RH.F,"Recruit Holdings Co., Ltd.",31.44,+0.02,+0.06%,77,12,50.595B,25.35
NFS.DE,Norfolk Southern Corporation,205.50,+1.50,+0.74%,6,19,47.642B,16.78
NFS.F,Norfolk Southern Corporation,203.50,-1.00,-0.49%,20,15,47.062B,16.71
EMR.F,Emerson Electric Co.,80.54,+1.02,+1.28%,49,174,46.17B,17.21
CIT.F,Cintas Corporation,448.80,+1.00,+0.22%,15,32,46.151B,38.89
EMR.DE,Emerson Electric Co.,80.60,+0.10,+0.12%,101,205,46.063B,17.52
RAA.DE,RATIONAL Aktiengesellschaft,655.00,+22.00,+3.48%,"23,209","8,730",45.942B,37.49
RAA.F,RATIONAL Aktiengesellschaft,632.00,-3.00,-0.47%,2,38,44.328B,35.81
PAR.DE,Parker-Hannifin Corporation,339.70,-1.60,-0.47%,10,135,43.967B,31.14
PAR.F,Parker-Hannifin Corporation,340.80,+3.00,+0.89%,9,17,43.875B,30.90
RAA1.F,RATIONAL Aktiengesellschaft,30.20,-0.20,-0.66%,200,3,42.365B,34.32
RPU.F,"Republic Services, Inc.",131.45,-0.65,-0.49%,7,10,41.926B,29.74
T7D.F,TransDigm Group Incorporated,749.80,+3.60,+0.48%,50,1,41.852B,48.50
TYIA.F,Johnson Controls International plc,59.20,+0.22,+0.37%,25,83,40.617B,30.99
2IS.F,Trane Technologies plc,170.75,+1.95,+1.16%,6,48,39.965B,24.05
VOL3.F,AB Volvo (publ),19.65,+0.22,+1.13%,2,150,39.261B,11.84
VOL4.F,AB Volvo (publ),18.70,+0.20,+1.08%,2,0,39.241B,11.40
DS8.F,DSV A/S,90.50,+0.50,+0.56%,5,0,39.241B,18.25
VOL1.F,AB Volvo (publ),18.75,+0.01,+0.06%,90,237,38.846B,11.57
NVAW.F,Delta Electronics (Thailand) Public Company Limited,3.0400,+0.2200,+7.80%,454,250,39.135B,101.33
DS81.F,DSV A/S,181.80,+0.85,+0.47%,1,40,39.384B,18.53
CO6.F,"Copart, Inc.",79.01,-1.10,-1.37%,40,18,37.835B,35.43
PAE.F,PACCAR Inc,71.72,-0.44,-0.61%,36,13,37.821B,13.21
PCX.F,"Paychex, Inc.",104.20,+1.90,+1.86%,10,32,37.565B,27.21
PCX.DE,"Paychex, Inc.",104.20,+1.50,+1.46%,22,7,37.565B,26.93
4PN.DE,Carrier Global Corporation,42.92,+0.80,+1.90%,"1,362","1,992",36.515B,16.01
4PN.F,Carrier Global Corporation,43.00,+1.00,+2.38%,132,990,36.688B,16.23
DLS.F,Delta Electronics (Thailand) Public Company Limited,2.8000,+0.1040,+3.86%,178,"3,108",35.721B,70.00
LTO.F,Larsen & Toubro Limited,25.40,-0.60,-2.31%,120,86,35.699B,29.20
BSP.F,BAE Systems plc,11.48,+0.16,+1.46%,5,"1,392",35.041B,19.47
BSP.DE,BAE Systems plc,11.44,+0.06,+0.53%,"28,029","22,432",34.919B,19.40
HLAG.F,Hapag-Lloyd Aktiengesellschaft,191.80,-2.00,-1.03%,80,480,33.711B,2.25
BSPA.F,BAE Systems plc,45.20,+0.40,+0.89%,110,16,34.477B,19.07
QMC.F,SMC Corporation,515.00,-5.00,-0.96%,20,0,34.165B,22.45
HRS.F,"L3Harris Technologies, Inc.",177.40,+0.90,+0.51%,30,7,33.939B,39.25
GWW.F,"W.W. Grainger, Inc.",676.00,+7.00,+1.05%,3,2,33.913B,22.00
ODF.F,"Old Dominion Freight Line, Inc.",303.20,+5.60,+1.88%,10,4,33.823B,26.14
CPF0.F,CITIC Limited,5.65,+0.10,+1.80%,15,0,34.6B,3.65
HLAG.DE,Hapag-Lloyd Aktiengesellschaft,187.90,-3.60,-1.88%,"17,208","26,336",33.025B,2.23
4PG.F,Otis Worldwide Corporation,80.74,+0.40,+0.50%,1,17,33.673B,28.84
RWL.F,"Rockwell Automation, Inc.",290.50,+4.00,+1.40%,22,5,33.455B,27.35
CPF.F,CITIC Limited,1.1440,+0.0160,+1.42%,"1,500",259,34.47B,3.69
AK1.F,"AMETEK, Inc.",143.00,+1.00,+0.70%,13,4,33.05B,29.92
UI51.F,"Waste Connections, Inc.",126.00,+1.00,+0.80%,252,197,32.913B,40.91
FUCA.F,Fanuc Corporation,16.80,-0.10,-0.59%,10,36,32.251B,29.47
