A0T.F,American Tower Corporation,176.45,+1.45,+0.83%,13,53,82.727B,64.40
PUP.F,Public Storage,263.00,+3.00,+1.15%,22,3,46.694B,12.06
8CW.F,Crown Castle Inc.,105.75,+1.00,+0.95%,100,29,45.861B,29.05
SQI.F,"Simon Property Group, Inc.",100.75,-1.15,-1.13%,240,30,37.89B,16.33
RY6.F,Realty Income Corporation,55.86,-0.02,-0.04%,639,749,37.704B,42.32
HCW.F,Welltower Inc.,73.92,+0.58,+0.79%,78,18,36.994B,308.00
SHG.F,Sun Hung Kai Properties Limited,11.80,0.00,0.00%,"9,423",165,34.701B,15.53
RLG.F,"CoStar Group, Inc.",76.50,+1.00,+1.32%,100,2,31.981B,90.00
CHZ0.F,China Resources Land Limited,39.80,+0.80,+2.05%,N/A,0,30.096B,7.73
CHZ.F,China Resources Land Limited,4.0000,+0.0800,+2.04%,500,8,29.376B,7.84
FQI.F,"Digital Realty Trust, Inc.",96.32,+0.12,+0.12%,70,33,28.867B,94.43
472.F,"Cellnex Telecom, S.A.",36.38,+0.08,+0.22%,230,45,25.702B,N/A
4720.F,"Cellnex Telecom, S.A.",17.40,0.00,0.00%,10,0,24.945B,N/A
WV8.F,"AvalonBay Communities, Inc.",174.50,+0.54,+0.31%,15,2,24.862B,25.81
4SB.F,SBA Communications Corporation,212.20,+3.80,+1.82%,45,1,23.276B,65.49
CPP.F,China Overseas Land & Investment Limited,2.0780,-0.0020,-0.10%,450,181,22.744B,7.17
RF6.F,"CBRE Group, Inc.",71.50,-0.50,-0.69%,50,2,22.273B,21.93
UF0.F,"UDR, Inc.",39.40,+0.20,+0.51%,65,2,21.855B,135.86
18V0.F,"China Vanke Co., Ltd.",0.6300,0.0000,0.00%,N/A,0,21.768B,4.85
18V.F,"China Vanke Co., Ltd.",1.3100,0.0000,0.00%,580,94,21.232B,5.04
WHC.F,Weyerhaeuser Company,28.02,-0.10,-0.36%,90,235,20.562B,17.30
KE8.F,KE Holdings Inc.,5.15,0.00,0.00%,300,26,19.473B,73.57
4IV.F,Invitation Homes Inc.,31.40,+0.20,+0.64%,25,0,19.387B,49.84
KE8A.F,KE Holdings Inc.,15.10,-0.40,-2.58%,70,24,19.095B,71.90
FG8.F,Extra Space Storage Inc.,133.25,+0.45,+0.34%,28,2,19.07B,23.05
A6W.F,"Alexandria Real Estate Equities, Inc.",108.00,-5.00,-4.42%,12,3,18.686B,24.88
SW9.SG,Swire Properties Limited,2.3200,+0.0200,+0.87%,0,0,14.168B,2.64
MFU.F,"Mitsui Fudosan Co., Ltd.",18.30,-0.30,-1.61%,174,4,17.3B,13.17
