APC8.F,Apple Inc.,19.30,+0.40,+2.12%,300,42,2.739T,3.52
APC.DE,Apple Inc.,169.68,-0.36,-0.21%,"69,903","73,057",2.693T,30.96
APC.F,Apple Inc.,168.98,-0.86,-0.51%,"6,674","6,544",2.685T,30.78
MSF0.F,Microsoft Corporation,18.20,+0.70,+4.00%,130,206,2.432T,2.03
MSF.F,Microsoft Corporation,314.75,-4.25,-1.33%,"4,561","4,254",2.366T,36.73
MSF.DE,Microsoft Corporation,316.25,+0.10,+0.03%,"44,305","40,239",2.357T,36.48
NVD.DE,NVIDIA Corporation,395.85,+4.15,+1.06%,"36,947","36,919",1.004T,217.50
NVDG.F,NVIDIA Corporation,29.00,+0.20,+0.69%,513,385,991.217B,15.03
NVD.F,NVIDIA Corporation,390.60,+0.65,+0.17%,"3,984","3,754",970.836B,210.00
TSFA.F,Taiwan Semiconductor Manufacturing Company Limited,95.70,-1.00,-1.03%,"2,435","1,886",496.339B,16.79
SSU.SG,Samsung Electronics Co Ltd,"1,280.00",-10.00,-0.78%,0,17,457.819B,10.64
1YD.F,Broadcom Inc.,799.30,+0.40,+0.05%,12,47,349.263B,28.38
SSU.F,"Samsung Electronics Co., Ltd.","1,280.00",0.00,0.00%,163,43,347.785B,10.57
SSUN.F,"Samsung Electronics Co., Ltd.","1,076.00",-6.00,-0.55%,744,144,344.376B,8.89
ORC.DE,Oracle Corporation,115.44,+0.70,+0.61%,"7,243","2,234",313.354B,39.67
ORC.F,Oracle Corporation,115.44,+0.02,+0.02%,"1,380",599,313.188B,38.74
ASME.DE,ASML Holding N.V.,667.00,-7.80,-1.16%,"4,678","3,063",265.882B,38.91
ASMF.F,ASML Holding N.V.,666.00,-6.00,-0.89%,2,34,266.59B,38.86
ASME.F,ASML Holding N.V.,663.00,-9.20,-1.37%,295,432,265.31B,38.84
ADB.DE,Adobe Inc.,460.60,+14.40,+3.23%,"6,228","1,425",211.277B,47.68
ADB.F,Adobe Inc.,455.00,+3.10,+0.69%,"2,229",927,209.686B,48.30
SSUN.SG,"Samsung Electronics Co., Ltd.","1,076.00",-12.00,-1.10%,0,30,323.226B,6.90
CIS.F,"Cisco Systems, Inc.",47.78,+0.28,+0.60%,355,"1,544",196.31B,18.38
CIS.DE,"Cisco Systems, Inc.",47.69,+0.53,+1.13%,"9,970","7,185",197.354B,18.41
CIS0.F,"Cisco Systems, Inc.",17.90,+0.30,+1.70%,110,16,195.763B,6.91
FOO0.F,"Salesforce, Inc.",11.70,+0.10,+0.86%,950,36,190.674B,34.41
CSA.F,Accenture plc,297.20,+2.20,+0.75%,213,226,188.175B,29.54
FOO.F,"Salesforce, Inc.",193.80,+2.20,+1.15%,102,317,192.56B,570.00
FOO.DE,"Salesforce, Inc.",193.30,+0.30,+0.16%,"1,886","1,728",190.67B,552.29
AMD0.F,"Advanced Micro Devices, Inc.",16.40,-0.20,-1.20%,950,133,187.767B,96.47
AMD.DE,"Advanced Micro Devices, Inc.",111.00,-1.34,-1.19%,"31,693","28,004",182.326B,652.94
AMD.F,"Advanced Micro Devices, Inc.",110.32,-3.46,-3.04%,"3,953","1,550",178.916B,648.94
TSFA.SG,Taiwan Semiconductor Manufacturing Company Limited,96.20,-0.50,-0.52%,725,794,492.739B,43.14
SAPA.F,SAP SE,126.00,+3.00,+2.44%,"1,330",126,149.185B,89.36
SAP.DE,SAP SE,126.54,+1.76,+1.41%,7.926M,1.687M,147.687B,89.74
