FP3.F,"NextEra Energy, Inc.",69.48,+1.82,+2.69%,"1,505",924,140.678B,22.49
IBE1.DE,"Iberdrola, S.A.",11.89,+0.18,+1.49%,"16,523","7,089",74.473B,16.51
IBE1.F,"Iberdrola, S.A.",11.80,+0.19,+1.59%,"6,765","2,442",73.909B,16.38
IBE5.F,"Iberdrola, S.A.",45.40,+0.20,+0.44%,70,1,72.946B,15.66
SOT.F,The Southern Company,64.58,-0.48,-0.74%,50,43,70.469B,22.66
CYZB.F,"China Yangtze Power Co., Ltd.",26.60,-0.40,-1.48%,10,0,69.35B,21.28
D2MN.F,Duke Energy Corporation,83.80,-0.10,-0.12%,24,71,64.664B,18.38
ENL.F,Enel SpA,6.12,+0.01,+0.20%,"18,240","15,837",62.196B,19.75
ENL.DE,Enel SpA,6.11,+0.01,+0.10%,"140,293","47,352",62.116B,19.70
ENLA.F,Enel SpA,6.00,0.00,0.00%,40,35,62.054B,19.35
NNGF.F,National Grid plc,12.90,+0.80,+6.61%,30,577,47.45B,15.18
NNGF.DE,National Grid plc,12.60,+0.40,+3.28%,"2,621","3,380",46.346B,14.65
NNGD.F,National Grid plc,61.00,+1.00,+1.67%,100,1,44.875B,14.22
UN01.F,Uniper SE,5.30,+0.23,+4.54%,"22,312","41,155",44.146B,N/A
UN01.DE,Uniper SE,5.29,+0.22,+4.38%,1.013M,"761,527",44.081B,N/A
SE4.DE,Sempra,137.00,+1.00,+0.74%,1,13,43.107B,18.87
SE4.F,Sempra,135.00,-1.00,-0.74%,4,39,42.641B,18.72
DOD.F,"Dominion Energy, Inc.",48.13,-0.26,-0.55%,25,8,40.385B,35.92
AEP.F,"American Electric Power Company, Inc.",77.31,+0.23,+0.30%,130,16,40.144B,21.66
PCG.F,PG&E Corporation,15.62,-0.17,-1.06%,1,9,39.622B,18.81
D2G1.F,Ørsted A/S,28.40,+0.40,+1.43%,16,0,38.196B,24.70
D2G.F,Ørsted A/S,90.84,+1.44,+1.61%,41,405,38.265B,25.81
PEO.DE,Exelon Corporation,37.66,+0.63,+1.72%,20,51,37.503B,17.85
PEO.F,Exelon Corporation,37.12,+0.20,+0.54%,22,25,37.352B,17.76
GZF.DE,Engie SA,14.37,+0.14,+1.01%,"3,835","10,738",34.957B,N/A
GZFB.F,Engie SA,14.30,+0.10,+0.70%,190,18,34.851B,N/A
GZF.F,Engie SA,14.19,+0.00,+0.01%,"2,401","2,895",34.612B,N/A
NRN.DE,Xcel Energy Inc.,58.87,+0.50,+0.86%,300,122,32.592B,19.18
NRN.F,Xcel Energy Inc.,58.49,+0.53,+0.91%,108,2,32.208B,19.63
RWE.DE,RWE Aktiengesellschaft,40.41,+0.42,+1.05%,6.922M,1.743M,30.059B,"1,347.00"
RWE.F,RWE Aktiengesellschaft,40.37,+0.25,+0.62%,"4,582","5,704",30.029B,"1,345.67"
EOAN.DE,E.ON SE,11.42,+0.27,+2.42%,13.508M,5.923M,29.811B,35.69
EOAN.F,E.ON SE,11.41,+0.26,+2.29%,"30,505","20,265",29.784B,35.66
EDC.F,"Consolidated Edison, Inc.",84.30,-0.40,-0.47%,60,27,29.571B,13.23
RWEA.F,RWE Aktiengesellschaft,39.40,+0.20,+0.51%,100,61,29.898B,"1,313.33"
EOAA.F,E.ON SE,11.20,+0.20,+1.82%,300,625,29.635B,35.00
PSE.F,Public Service Enterprise Group Incorporated,56.50,-0.50,-0.88%,20,0,28.391B,13.11
E7S.F,Constellation Energy Corporation,86.00,+0.47,+0.55%,8,36,27.899B,N/A
OEW.F,VERBUND AG,14.30,-0.30,-2.05%,1,11,25.231B,14.02
OEWA.F,VERBUND AG,74.15,-2.50,-3.26%,100,140,24.921B,14.63
AWC.F,"American Water Works Company, Inc.",136.80,+3.20,+2.40%,110,101,26.672B,32.42
AWC.DE,"American Water Works Company, Inc.",137.00,+2.40,+1.78%,42,231,26.666B,32.46
WIC.F,"WEC Energy Group, Inc.",83.90,+0.80,+0.96%,65,1,26.5B,20.92
GAN.F,"Naturgy Energy Group, S.A.",27.16,+0.70,+2.65%,3,48,26.408B,15.70
GANA.F,"Naturgy Energy Group, S.A.",5.15,+0.10,+1.98%,20,0,26.237B,14.71
EIX.F,Edison International,64.20,+1.46,+2.33%,66,3,24.747B,31.63
SCT.F,SSE plc,22.00,+0.60,+2.80%,200,245,24.053B,N/A
EIX.DE,Edison International,62.56,0.00,0.00%,2,0,23.985B,30.67
EBK.F,EnBW Energie Baden-Württemberg AG,86.80,-1.60,-1.81%,5,36,23.778B,41.53
CEZ.F,"CEZ, a. s.",43.38,+0.26,+0.60%,223,407,23.563B,8.56
CEZA.F,"CEZ, a. s.",20.20,+0.20,+1.00%,20,0,23.475B,8.05
SCTA.F,SSE plc,21.20,0.00,0.00%,250,0,23.178B,N/A
EBK.DE,EnBW Energie Baden-Württemberg AG,85.40,-2.40,-2.73%,70,253,23.131B,42.28
NWJ.F,Eversource Energy,64.50,0.00,0.00%,45,4,22.5B,16.62
ENA.DE,"Endesa, S.A.",21.11,+0.26,+1.25%,"2,198",206,22.334B,8.87
ENA.F,"Endesa, S.A.",20.70,-0.12,-0.58%,200,84,21.9B,8.55
ENAA.F,"Endesa, S.A.",9.95,0.00,0.00%,"1,025",78,22.016B,8.36
DGY.F,DTE Energy Company,104.00,0.00,0.00%,10,0,21.578B,19.62
FE7.F,FirstEnergy Corp.,36.10,+0.47,+1.32%,10,0,20.679B,53.88
AE4.F,Ameren Corporation,76.50,0.00,0.00%,78,11,20.297B,20.03
EDW0.F,"EDP Renováveis, S.A.",36.80,-0.20,-0.54%,2,0,19.86B,29.44
EDW.F,"EDP Renováveis, S.A.",19.25,-0.13,-0.67%,2,254,19.763B,30.56
ELP1.F,Companhia Paranaense de Energia - COPEL,7.30,0.00,0.00%,40,0,19.977B,104.29
ETY.F,Entergy Corporation,93.50,+0.50,+0.54%,9,4,19.77B,18.26
EDPA.SG,"EDP - Energias de Portugal, S.A.",45.40,+0.60,+1.34%,0,0,19.472B,17.73
L3XC.F,Centrais Elétricas Brasileiras S.A. - Eletrobrás,8.50,+0.05,+0.59%,419,0,19.61B,N/A
EDP.F,"EDP - Energias de Portugal, S.A.",4.6290,+0.0100,+0.22%,"5,000","1,436",19.282B,18.52
12F.F,Fortis Inc.,38.90,-0.56,-1.42%,230,230,18.847B,18.88
