Name,ISIN,CCP-ready,Exchange,WKN,Symbol,Currency,Instrument type,Designated Sponsor(s),Market Maker,Trading Model,Maximum Range,Minimum quotation volume
029 GROUP SE INH O.N. (EUR), DE000A2LQ2D0,Yes, Xetra,A2LQ2D,Z29,EUR,Aktien,mwb fairtrade Wertpapierhandelbank AG,None,Fortlaufender Handel,"4,00 %","481,00"
1+1 AG INH O.N. (EUR), DE0005545503,Yes, Xetra,554550,1U1,EUR,Aktien,ODDO BHF Corporates & Markets AG,"DRW Europe B.V., HRTEU Limited, Jump Trading Europe B.V., Citadel Securities GCS (Ireland) Limited (de), Société Générale, Susquehanna International Securities Ltd., Baader Bank AG",Fortlaufender Handel,"2,00 %","946,00"
11 88 0 SOLUTIONS AG (EUR), DE0005118806,Yes, Xetra,511880,TGT,EUR,Aktien,ODDO BHF Corporates & Markets AG,Baader Bank AG,Fortlaufender Handel,"10,00 %","2.000,00"
123FAHRSCHULE SE INH O.N. (EUR), DE000A2P4HL9,Yes, Xetra,A2P4HL,123F,EUR,Aktien,ICF BANK AG,None,Fortlaufender Handel,"0,32 EUR","705,00"
2G ENERGY AG (EUR), DE000A0HL8N9,Yes, Xetra,A0HL8N,2GB,EUR,Aktien,M.M.Warburg & CO (AG & Co.) KGaA,"Citadel Securities GCS (Ireland) Limited (de), Baader Bank AG",Fortlaufender Handel,"2,00 %","362,00"
2INVEST AG NA O.N. (EUR), DE000A3H3L44,Yes, Xetra,A3H3L4,2INV,EUR,Aktien,mwb fairtrade Wertpapierhandelbank AG,None,Fortlaufender Handel,"0,32 EUR","794,00"
"3 D SYS CORP. DL-,001 (EUR)", US88554D2053,Yes, Xetra,888346,SYV,EUR,Aktien,mwb fairtrade Wertpapierhandelbank AG | Optiver V.O.F. | Baader Bank AG,DRW Europe B.V.,Fortlaufender Handel,"3,00 %","826,00"
"3M CO. DL-,01 (EUR)", US88579Y1010,Yes, Xetra,851745,MMM,EUR,Aktien,mwb fairtrade Wertpapierhandelbank AG,"DRW Europe B.V., Optiver V.O.F., Baader Bank AG, WEBB TRADERS BV (de)",Fortlaufender Handel,"2,00 %","108,00"
3U HOLDING AG (EUR), DE0005167902,Yes, Xetra,516790,UUU,EUR,Aktien,BankM AG,Baader Bank AG,Fortlaufender Handel,"0,16 EUR","3.774,00"
468 SPAC II SE EO 1 (EUR), LU2380748603,Yes, Xetra,A3C81B,SPV2,EUR,Aktien,Berenberg,None,Fortlaufender Handel,"4,00 %","503,00"
4BASEBIO PLC EO 1 (EUR), GB00BMCLYF79,Yes, Xetra,A3CWA4,88Q,EUR,Aktien,mwb fairtrade Wertpapierhandelbank AG,None,Fortlaufender Handel,"0,32 EUR","741,00"
7C SOLARPARKEN AG O.N. (EUR), DE000A11QW68,Yes, Xetra,A11QW6,HRPK,EUR,Aktien,ICF BANK AG,Baader Bank AG,Fortlaufender Handel,"0,16 EUR","2.615,00"
A.P.MOELL.-M.NAM A DK1000 (EUR), DK0010244425,Yes, Xetra,861929,DP4A,EUR,Aktien,None,Baader Bank AG,Fortlaufender Handel,"2,00 %","7,00"
A.P.MOELL.-M.NAM B DK1000 (EUR), DK0010244508,Yes, Xetra,861837,DP4B,EUR,Aktien,None,Baader Bank AG,Fortlaufender Handel,"2,00 %","7,00"
A.S.CREATION TAPETEN NA (EUR), DE000A1TNNN5,Yes, Xetra,A1TNNN,ACWN,EUR,Aktien,ICF BANK AG,None,Fortlaufender Handel,"4,00 %","397,00"
AAP IMPLANTATE AG O.N. (EUR), DE000A3H2101,Yes, Xetra,A3H210,AAQ1,EUR,Aktien,BankM AG,None,Fortlaufender Handel,"10,00 %","2.000,00"
