Time,Stock Exchange,Name,Field,Offer Price,Total Offering Value,Initial Listing Price,MarketCap
08. Feb 2023,Prime Standard (Neuemission),IONOS Group SE, Software," € 18,40 "," € 2.576.000.000,00"," € 18,40 "," € 2.576.000.000,00"
11. Nov 2022,Scale (Notierungsaufnahme),Cantourage Group SE, Pharma & Gesundheit,None,None," € 6,48 "," € 80.789.263,92"
29. Sep 2022,Prime Standard (Neuemission),Dr. Ing. h.c. F. Porsche AG, Automobil," € 84,00 "," € 76.524.000.000,00"," € 84,00 "," € 76.524.000.000,00"
15. Jul 2022,Prime Standard (Notierungsaufnahme),"ADTRAN Holdings, Inc.", Technologie,None,None," € 19,566 "," € 1.705.349.765,60"
01. Jun 2022,General Standard (Privatplatzierung),SMG European Recovery SPAC SE, Finanzdienstleistung," € 10,00 "," € 143.750.000,00"," € 10,00 "," € 143.750.000,00"
03. Mai 2022,Scale (Neuemission),EV Digital Invest AG, Finanzdienstleistung," € 13,97 "," € 62.166.500,00"," € 13,97 "," € 62.166.500,00"
13. Apr 2022,Scale (Dual Listing),beaconsmind AG, Software,None,None," € 12,00 "," € 25.306.608,00"
30. Mär 2022,Scale (Dual Listing),Pyrum Innovations AG, Industrie,None,None," € 97,10 "," € 315.937.668,50"
03. Mär 2022,Scale (Notierungsaufnahme),Advanced Blockchain AG, Software,None,None," € 13,50 "," € 50.945.328,00"
15. Feb 2022,Prime Standard (Dual Listing),Vulcan Energy Resources Limited, Chemie,None,None," € 5,65 "," € 743.794.758,50"
20. Jan 2022,General Standard (Privatplatzierung),468 SPAC II SE, Finanzdienstleistung," € 9,99 "," € 209.790.000,00"," € 9,99 "," € 209.790.000,00"
10. Dez 2021,Prime Standard (Notierungsaufnahme),Daimler Truck Holding AG, Industrie,None,None," € 28,00 "," € 23.042.652.696,00"
22. Nov 2021,Prime Standard (Dual Listing),Allterco JSCo, Technologie,None,None," € 14,50 "," € 260.999.985,50"
12. Nov 2021,Prime Standard (Notierungsaufnahme),The Social Chain AG, Medien,None,None," € 54,00 "," € 620.570.322,00"
10. Nov 2021,Scale (Neuemission),Veganz Group AG, Nahrungsmittel," € 86,90 "," € 106.313.373,00"," € 86,90 "," € 106.313.373,00"
20. Okt 2021,Prime Standard (Transfer),Mutares SE & Co. KGaA, Finanzdienstleistung,None,None," € 22,35 ", -
19. Okt 2021,General Standard (Privatplatzierung),learnd SE, Software," € 9,99 "," € 149.850.000,00"," € 9,99 "," € 149.850.000,00"
16. Sep 2021,Prime Standard (Notierungsaufnahme),Vitesco Technologies Group AG, Automobil,None,None," € 59,80 "," € 2.393.267.520,80"
19. Jul 2021,Prime Standard (Privatplatzierung),Novem Group S.A., Automobil," € 16,50 "," € 710.000.000,00"," € 16,50 "," € 710.000.000,00"
02. Jul 2021,Prime Standard (Neuemission),Mister Spex SE, Handel," € 25,38 "," € 867.184.702,92"," € 25,38 "," € 867.184.702,92"
29. Jun 2021,Prime Standard (Neuemission),Cherry SE, Technologie," € 32,00 "," € 777.600.000,00"," € 32,00 "," € 777.600.000,00"
25. Jun 2021,Prime Standard (Privatplatzierung),BIKE24 Holding AG, Handel," € 15,30 "," € 675.749.989,80"," € 15,30 "," € 675.749.989,80"
16. Jun 2021,Prime Standard (Privatplatzierung),ABOUT YOU Holding SE, Handel," € 25,60 "," € 4.765.529.267,20"," € 25,60 "," € 4.765.529.267,20"
21. Mai 2021,Prime Standard (Neuemission),hGears AG, Automobil," € 27,50 "," € 286.000.000,00"," € 27,50 "," € 286.000.000,00"
19. Mai 2021,Prime Standard (Neuemission),SUSE S.A., Software," € 29,50 "," € 4.964.850.000,00"," € 29,50 "," € 4.964.850.000,00"
19. Mai 2021,General Standard (Notierungsaufnahme),Linus Digital Finance AG, Finanzdienstleistung,None,None," € 27,60 "," € 167.163.981,60"
11. Mai 2021,Scale (Neuemission),APONTIS PHARMA AG, Pharma & Gesundheit," € 18,90 "," € 160.650.000,00"," € 18,90 "," € 160.650.000,00"
04. Mai 2021,Prime Standard (Neuemission),KATEK SE, Technologie," € 27,90 "," € 369.448.452,00"," € 27,90 "," € 369.448.452,00"
04. Mai 2021,Delisted (Privatplatzierung),OboTech Acquisition SE, Finanzdienstleistung," € 10,00 "," € 253.250.000,00"," € 10,00 "," € 253.250.000,00"
30. Apr 2021,Prime Standard (Neuemission),SYNLAB AG, Pharma & Gesundheit," € 18,00 "," € 4.000.000.000,00"," € 18,00 "," € 4.000.000.000,00"
30. Apr 2021,Prime Standard (Privatplatzierung),tonies SE, Konsumgüter," € 9,79 "," € 365.625.000,00"," € 9,79 "," € 365.625.000,00"
25. Mär 2021,Prime Standard (Neuemission),Friedrich Vorwerk Group SE, Industrie," € 46,88 "," € 937.600.000,00"," € 46,88 "," € 937.600.000,00"
18. Mär 2021,Delisted (Neuemission),Vantage Towers AG, Telekommunikation," € 24,80 "," € 12.543.400.172,00"," € 24,80 "," € 12.543.400.172,00"
22. Feb 2021,General Standard (Privatplatzierung),HomeToGo SE, Finanzdienstleistung," € 11,15 "," € 306.625.000,00"," € 11,15 "," € 306.625.000,00"
04. Feb 2021,Prime Standard (Neuemission),AUTO1 Group SE, Handel," € 55,00 "," € 10.968.866.700,00"," € 55,00 "," € 10.968.866.700,00"
16. Dez 2020,Prime Standard (Notierungsaufnahme),Nagarro SE, Software,None,None," € 69,00 "," € 785.393.397,00"
30. Okt 2020,General Standard (Transfer),FCR Immobilien AG, Finanzdienstleistung,None,None," € 11,20 "," € 102.439.724,80"
